entity_id,paper_title,entity_type,extracted_value,source_context_snippet
REV_3482F641,Co-modification by LiAlO2-coating and Al-doping for LiNi0.5Co0.2Mn0.3O2 as a hig,chemical,name=Na2CO3  formula=  role=  amount={...},
REV_1457FE5B,Oriented nanoporous MOFs to mitigate polysulfides migration in lithium-sulfur ba,characterization,method=SEM  purpose=,
REV_0135144D,Understanding Co roles towards developing Co-free Ni-rich cathodes for rechargea,chemical,name=NiSO4·6H2O  formula=  role=  amount={...},
REV_2C7000C4,Oriented nanoporous MOFs to mitigate polysulfides migration in lithium-sulfur ba,operation,action=heat  T=393  t=4320,
REV_C4CE33C0,"Zinc-Doped High-Nickel, Low-Cobalt Layered Oxide Cathodes for High-Energy-Densit",chemical,name=N-methyl-2-pyrrolidone  formula=  role=  amount={...},
REV_E8842461,"Carbon-, Binder-, and Precious Metal-Free Cathodes for Non-Aqueous Lithium−Oxyge",operation,action=hydrothermal_reaction  T=423  t=null,
REV_FD386F2F,Identifying the Distribution of Al3+ in LiNi0.8Co0.15Al0.05O2,characterization,method=Neutron Powder Diffraction  purpose=,
REV_F39FB19F,Na3MnZr(PO 4)3: A High-Voltage Cathode for Sodium Batteries,characterization,method=HRTEM  purpose=,
REV_063BE607,Electrical resistance of the current collector controls lithium morphology,final_outcome,{...},
REV_41C65C86,Two-Dimensional Titanium Carbide MXene As a Cathode Material for Hybrid Magnesiu,final_outcome,{...},
REV_B06863D6,"Synthesis of a new lithium ionic conductor, thio-LISICON – lithium germanium sul",step_description,description=Load the mixture into a carbon-coated quartz tube.,
REV_A569A402,Electrochemical lithium intercalation behavior of pristine and milled hexagonal ,target,compound=2.5 h-milled graphite  formula=C  role=active material,
REV_5D24A63F,Two-Dimensional Titanium Carbide MXene As a Cathode Material for Hybrid Magnesiu,characterization,method=CV  purpose=,
REV_13652D98,Reduced Graphene Oxide/LiI Composite Lithium Ion Battery Cathodes,operation,action=freeze-dry  T={...}  t=2880,
REV_439DDD36,Electrochemical lithium intercalation behavior of pristine and milled hexagonal ,chemical,name=Hexagonal boron nitride (for mixture)  formula=  role=  amount=2.667,
REV_E74F6322,Staging Phase Transitions in Li xCoO2,operation,action=evaporate  T=null  t=null,
REV_18496BF9,"Zinc-Doped High-Nickel, Low-Cobalt Layered Oxide Cathodes for High-Energy-Densit",final_outcome,{...},
REV_67C8B54A,Oriented nanoporous MOFs to mitigate polysulfides migration in lithium-sulfur ba,characterization,method=XPS  purpose=,
REV_A450E1B8,Two-dimensional V2C@Se (MXene) composite cathode material for high-performance r,chemical,name=Selenium  formula=  role=  amount={...},
REV_2F6CC63B,"Zinc-Doped High-Nickel, Low-Cobalt Layered Oxide Cathodes for High-Energy-Densit",chemical,name=vinylene carbonate  formula=  role=  amount=2,
REV_BF9805EF,A multi-functional binder for high loading sulfur cathode,chemical,name=lithium nitrate  formula=  role=  amount=2,
REV_97926445,Electrochemical lithium intercalation behavior of pristine and milled hexagonal ,characterization,method=BET  purpose=,
REV_4F9A300A,All-Solid-State Lithium Batteries: Li+-Conducting Ionomer Binder for Dry-Process,characterization,method=AC impedance spectroscopy  purpose=,
REV_008697CB,Electrical resistance of the current collector controls lithium morphology,characterization,method=Four-point probe  purpose=,
REV_5F260082,One step in-situ synthesis of Na3V2(PO4)3/Na3V3(PO4)4 biphase coexisted cathode ,characterization,method=Raman spectroscopy  purpose=,
REV_C3F5A956,Enhanced lithium ion conduction and the size effect on interfacial phase in Li2Z,chemical,name=cyclohexane  formula=  role=  amount={...},
REV_4C92F849,Electrochemical surface passivation of LiCoO2 particles at ultrahigh voltage and,chemical,name=LiCoO2  formula=  role=  amount=1,
REV_8AADB01C,Layered reduced graphene oxide with nanoscale interlayer gaps as a stable host f,step_description,description=Molten Li infusion into rGO to form layered Li–rGO composite,
REV_4D6AF720,A Battery Made from a Single Material,chemical,name=Lithium bis(trifluoromethanesulfonyl)imide  formula=  role=  amount=1,
REV_9E292696,Unveiling the Stable Nature of the Solid Electrolyte Interphase between Lithium ,characterization,method=Cryo-TEM/HRTEM  purpose=,
REV_ECEB4A33,Enhancing lithium–sulphur battery performance by strongly binding the discharge ,operation,action=stir  T={...}  t=60,
REV_8113B0C3,Na3MnZr(PO 4)3: A High-Voltage Cathode for Sodium Batteries,characterization,method=TEM  purpose=,
REV_D9F8A8C5,Oriented nanoporous MOFs to mitigate polysulfides migration in lithium-sulfur ba,final_outcome,64,
REV_D782FCC3,Electrical resistance of the current collector controls lithium morphology,operation,action=rinse  T=null  t=null,
REV_111DDF26,Electrochemical lithium intercalation behavior of pristine and milled hexagonal ,characterization,method=XRD  purpose=,
REV_80A6A0AD,Layered reduced graphene oxide with nanoscale interlayer gaps as a stable host f,step_description,description=Pressing sparked rGO film to obtain smooth surfaces,
REV_30EC8219,Electrochemical surface passivation of LiCoO2 particles at ultrahigh voltage and,chemical,name=Argon  formula=  role=  amount={...},
REV_0E9B1007,Facile in Situ Preparation of Graphitic-C3N4@carbon Paper As an Efficient Metal-,step_description,description=Calcine the dried samples to obtain GCN@CP.,
REV_9D5E15AF,All-Solid-State Lithium Batteries: Li+-Conducting Ionomer Binder for Dry-Process,chemical,name=Polytetrafluoroethylene  formula=  role=  amount={...},
REV_A790E011,Layered reduced graphene oxide with nanoscale interlayer gaps as a stable host f,operation,action=cool  T=298  t={...},
REV_58FB11E5,Oriented nanoporous MOFs to mitigate polysulfides migration in lithium-sulfur ba,target,compound=DMAZF  formula=[(CH3)2NH2]Zn(HCO2)3  role=product,
REV_39AEDEDD,Facile in Situ Preparation of Graphitic-C3N4@carbon Paper As an Efficient Metal-,target,compound=bulk graphitic carbon nitride  formula=C3N4  role=comparison catalyst,
REV_33C3C265,Understanding Co roles towards developing Co-free Ni-rich cathodes for rechargea,characterization,method=X-ray Absorption Spectroscopy (XAS)  purpose=,
REV_62FDA36A,"Synthesis of a new lithium ionic conductor, thio-LISICON – lithium germanium sul",operation,action=heat  T=null  t=null,
REV_80CE0D3B,Crystalline LiPON as a Bulk-Type Solid Electrolyte,final_outcome,35,
REV_B5539D33,All-Solid-State Lithium Batteries: Li+-Conducting Ionomer Binder for Dry-Process,operation,action=press  T={...}  t={...},
REV_B69B8CA8,Na3MnZr(PO 4)3: A High-Voltage Cathode for Sodium Batteries,characterization,method=XRD (Rietveld)  purpose=,
REV_CC35F90D,Co-modification by LiAlO2-coating and Al-doping for LiNi0.5Co0.2Mn0.3O2 as a hig,target,compound=LiNi0.5Co0.2Mn0.3O2 (bare NCM)  formula=  role=control,
REV_A7D6139A,"Zinc-Doped High-Nickel, Low-Cobalt Layered Oxide Cathodes for High-Energy-Densit",characterization,method=DSC  purpose=,
REV_A6E49FBA,Electrochemical lithium intercalation behavior of pristine and milled hexagonal ,operation,action=dry  T=null  t=null,
REV_8ED75DEF,"Carbon-, Binder-, and Precious Metal-Free Cathodes for Non-Aqueous Lithium−Oxyge",chemical,name=Tetraethylene glycol dimethyl ether  formula=  role=  amount={...},
REV_975F6D24,Facile in Situ Preparation of Graphitic-C3N4@carbon Paper As an Efficient Metal-,chemical,name=guanidine hydrochloride  formula=  role=  amount=0.2,
REV_786A1973,Unveiling the Stable Nature of the Solid Electrolyte Interphase between Lithium ,chemical,name=Ethyl methyl carbonate (EMC)  formula=  role=  amount={...},
REV_E2E8467A,Enhancing lithium–sulphur battery performance by strongly binding the discharge ,target,compound=EFG–S nanocomposite (60 wt % S)  formula=  role=product,
REV_9EF69EF5,Electrical resistance of the current collector controls lithium morphology,chemical,name=trimethylaluminum  formula=  role=  amount={...},
REV_4A856628,Understanding Co roles towards developing Co-free Ni-rich cathodes for rechargea,operation,action=add  T=333  t=null,
REV_758B8EBE,Unveiling the Stable Nature of the Solid Electrolyte Interphase between Lithium ,final_outcome,{...},
REV_25573DDA,Enhancing lithium–sulphur battery performance by strongly binding the discharge ,characterization,method=TGA  purpose=,
REV_39E848E5,Staging Phase Transitions in Li xCoO2,final_outcome,{...},
REV_05483717,Co-modification by LiAlO2-coating and Al-doping for LiNi0.5Co0.2Mn0.3O2 as a hig,operation,action=heat  T=353.15  t=120,
REV_4AFADF3D,"Synthesis of a new lithium ionic conductor, thio-LISICON – lithium germanium sul",final_outcome,80,
REV_66BEDA76,Identifying the Distribution of Al3+ in LiNi0.8Co0.15Al0.05O2,characterization,method=SQUID Magnetic Susceptibility  purpose=,
