method,count
Time-of-Flight Neutron Diffraction,1
7Li Magic Angle Spinning NMR,1
PFG NMR,1
Synchrotron HRPD (XRD),1
STEM (HAADF),1
DFT adsorption energy calculation (Li surface),1
DFT HOMO level calculation,1
Phase-field simulation,1
X-ray Computed Tomography (X-CT),1
Spectral Density of States (SDOS) analysis,1
single-crystal X-ray diffraction,1
impedance spectroscopy,1
7Li NMR spectroscopy,1
Hybrid DFT (HSE),1
Density Functional Theory (DFT+U),1
Decomposition potential measurement,1
NEDC drive-cycle discharge test,1
UDDS drive-cycle test,1
MLTB drive-cycle test,1
pH measurement,1
CHN combustion analysis,1
C-rate performance test,1
Optical Microscopy,1
Ab initio Equilibrium Molecular Dynamics (EMD),1
Ab initio Nonequilibrium Molecular Dynamics (NEMD),1
NEMD with Arrhenius extrapolation,1
DFT (PBE functional),1
DIMER/NEB transition-state search,1
Pulsed discharge test,1
Raman spectroscopy (in operando),1
Hebb-Wagner DC polarisation,1
Open-circuit voltage monitoring,1
Atomic Absorption Spectroscopy (AAS),1
STM,1
Far-infrared reflectivity spectroscopy,1
Galvanostatic discharge test,1
Solubility-based capacity estimate,1
Ab initio molecular dynamics (Car–Parrinello),1
Sum Frequency Generation (SFG) spectral simulation,1
Quantum chemical geometry optimisation,1
Single-point energy (torsion profile),1
Molecular dynamics (crystal validation),1
Molecular dynamics (liquid density),1
DFT (B3LYP) periodic calculations,1
Activation energy calculations,1
Density of States (DOS) analysis,1
Mulliken population analysis,1
Transmission electron microscopy (TEM),1
Open-circuit voltage measurement,1
Galvanostatic charge/discharge cycling,1
Electrochemical Impedance / Polarization,1
DFT (PBE+vdWsurf),1
ab initio Molecular Dynamics (AIMD),1
Plane-integrated electron density analysis,1
Projected density of states (PDOS),1
Embedded wavefunction charge analysis,1
In-situ XRD,1
Li nucleation overpotential measurement,1
Electrochemical stripping,1
Galvanostatic Plating/Stripping,1
In situ Optical Microscopy,1
XRD (in situ),1
XRD (ex situ),1
dQ/dV analysis,1
Simulated XRD,1
AIMD trajectory analysis,1
NMR T2 relaxation,1
2D NMR exchange,1
Cryo-TEM/HRTEM,1
Cryo-STEM-EDS,1
Cryo-STEM-EELS,1
XPS depth profiling,1
Cryo-XRD,1
In-situ SEM,1
UPS,1
Synchrotron XPS,1
Photoelectron spectroscopy – derived electronic properties,1
Particle hardness test (micro compression),1
Electrochemical (galvanostatic cycling),1
GeoDict electronic conductivity calculation,1
TauFactor tortuosity analysis,1
GCD,1
"DFT (local-density approximation, non-relativistic)",1
"DFT (local-density approximation, fully relativistic)",1
Safety testing (nail penetration),1
Density Functional Theory (PBE+U),1
Ab-initio Molecular Dynamics,1
Battery polarization testing,1
"Solid-state NMR (7Li, 6Li, 31P)",1
DFT structure optimization,1
Powder X-ray diffraction (SXRD),1
Neutron powder diffraction (NPD),1
Differential scanning calorimetry (DSC),1
Solid-state NMR (23Na MAS),1
"Solid-state NMR (31P, 29Si MAS)",1
Single-crystal XRD,1
Surface tension measurement,1
Freezing test,1
Electrochemical observation (optical imaging),1
Synchrotron X-ray diffraction,1
Pair distribution function (PDF),1
Time-of-Flight Secondary Ion Mass Spectroscopy (TOF-SIMS),1
In-situ XRD during electrochemical cycling,1
Restricted diffusion (emf/optical),1
Moving boundary method,1
Hittorf method,1
Four-point probe conductivity,1
Current/potential step technique,1
Micropolarization,1
Rheology (flow curve),1
180-degree peel test,1
Ab initio molecular dynamics simulation,1
TG/DSC,1
NEMD simulation,1
Laser microscopy,1
Mercury porosimetry,1
UV/vis spectroscopy,1
SR-PXD,1
Operando SR-PXD,1
TEM/HRTEM/SAED,1
Galvanostatic cycling (Zn//graphite battery),1
Galvanostatic cycling (Al/graphite cell),1
Galvanostatic cycling (VO2 nanorods),1
Galvanostatic cycling (Mo6S8 cathode),1
Galvanostatic discharge (Al/S cell),1
Elastic Tensor Analysis,1
Surface tension (Wilhelmy Plate tensiometer),1
Rheology (Kinexus Pro+ parallel plate),1
Mass measurement,1
Ultraviolet Photoelectron Spectroscopy (UPS),1
Synchrotron XPS (SXPS),1
TEM/EELS,1
Rheology (rotational rheometer),1
Mechanical testing (force sensor & micrometer),1
Thickness measurement (micrometer),1
Density measurement,1
SEM/FIB imaging,1
Force-field elastic property calculation,1
Density Functional Theory (PBESOL + D2),1
Machine Learning (Gradient Boosting Regressor),1
Ab initio molecular dynamics,1
Mean square displacement (MSD),1
Classical Molecular Dynamics (CMD),1
Diffusion Quantum Monte Carlo (DMC),1
XRD (Rietveld),1
SSNEB (Solid-State Nudged Elastic Band),1
Phonon calculations,1
Molecular Dynamics (BOMD),1
Transient Planar Source (TPS),1
Specific heat measurement (NETZSCH),1
Battery thermal testing,1
GW quasi-particle energy calculations,1
Density Functional Theory (DFT) total energy calculations,1
Powder X-ray diffraction (XRD),1
Constant current cycling,1
STEM (HAADF Z-contrast),1
XEDS mapping,1
XEDS tomography,1
Lattice parameter measurement (from STEM images),1
TEM/STEM-EDX/EELS,1
"DFT (FP-LAPW, GGA-PBE)",1
Cluster Expansion (energy CE),1
Cluster Expansion (moment CE),1
Current–Voltage (I–V) measurement,1
Magnetoresistance measurement,1
"DFT (FP-LAPW, GGA-PW92)",1
Scanning electron microscopy (SEM),1
Inductively coupled plasma spectroscopy (ICP-OES),1
Capacity retention test,1
Average voltage determination,1
6Li MAS NMR,1
Transmission Electron Microscopy (TEM) with EDS & NBD,1
High-resolution synchrotron X-ray diffraction (HRXRD),1
Elemental analysis (CHN),1
Linear polarization,1
Electrical resistivity measurement,1
Electrochemical impedance / transference number,1
DFT+U calculation,1
DFT (PBE + U),1
X-ray diffraction,1
Compression creep testing,1
Photoelectron spectroscopy,1
"DFT (PW91 GGA, PAW)",1
Space-charge modelling,1
FE-SEM with EDX,1
Rutherford Backscattering Spectrometry (RBS),1
H2S generation test,1
Coulombic efficiency measurement,1
Defect migration barrier calculation (NEB),1
AC impedance / admittance spectroscopy,1
Powder XRD (Guinier),1
Single crystal XRD,1
Powder X-ray Diffraction (XRD),1
High-temperature synchrotron XRD,1
7Li solid-state MAS NMR,1
DC Polarization,1
Potentiostatic polarization,1
Laser particle size analysis,1
Three-point bending,1
Interfacial EIS (Li|LLZTO|Li),1
Critical current density test,1
"Molecular dynamics simulation (Deep Potential, DP-GEN)",1
Phase Field Dislocation Dynamics (PFDD),1
Neutron powder diffraction (TOF),1
Ionic conductivity (pressed pellet),1
Nudge Elastic Band (NEB),1
Coordination Number Analysis,1
Bader Charge Analysis,1
Vibrational Density of States,1
DFT-NEB,1
DFT-Convex hull,1
DFT-DOS,1
Electrochemical GCD,1
AC Impedance,1
Electrochemical window (LSV),1
SIMS,1
Stylus profilometry (Dektak 8),1
Resistivity measurement,1
Hybrid DFT calculations (HSE),1
density measurement,1
PBE bandgap calculation,1
Molecular dynamics (MD) simulation,1
DC electronic conductivity,1
Wagner polarization,1
Current pulse method,1
V-I characterization,1
High-temperature X-ray diffraction,1
Poisson equation simulation,1
X-ray photoelectron spectroscopy,1
X-ray computed tomography,1
X-ray diffraction (synchrotron),1
Ionic conductivity measurement (AC impedance),1
Electrochemical cycling (LiCoO2/solid electrolyte/Li),1
Equivalent circuit parameter determination,1
Synchrotron powder X-ray diffraction,1
Time-of-flight neutron powder diffraction,1
Molecular Dynamics (MD) Simulation,1
Potential of Mean Force (PMF) Calculation,1
Electrochemical testing (half-cell CV and galvanostatic),1
Electrochemical testing (full cell),1
Galvanostatic cycling (GCPL),1
EDS mapping (STEM),1
Differential capacity analysis,1
Operando optical microscopy,1
Operando SEM,1
Electrochemical charge–discharge test,1
FT-IR (ATR),1
DC polarization (ionic/electronic),1
DC polarization + EIS (Bruce method),1
Cyclic voltammetry (symmetric Al cell),1
diffusion measurement,1
Classical pair potential simulation (GULP),1
"Density Functional Theory (VASP, PBE)",1
SEM-EDX,1
X-ray powder diffraction (Rietveld refinement),1
Galvanostatic dc polarization,1
Guinier powder X-ray diffraction,1
Polarizing microscopy (hot stage),1
"DFT (B3PW91/6-311++G(d,p))",1
NPD,1
Solid-state NMR,1
TGA/DTA/MS,1
13C NMR,1
Mass Spectrometry (ESI),1
Melting Point,1
Continuum model,1
"Molecular dynamics simulation (LAMMPS, reaxFF)",1
Mean square displacement analysis,1
Activation energy calculation,1
Cycling Performance Test,1
XAS,1
RXES,1
SRIM simulation,1
IR,1
HRMS (ESI),1
Luminescence spectroscopy,1
Long-term cycling,1
EDX mapping,1
DFT binding energy calculation,1
Average voltage calculation,1
Electronic band structure,1
Electrochemical testing (galvanostatic cycling),1
Symmetric cell plating/stripping,1
23Na solid-state NMR,1
Thermogravimetric analysis (TGA),1
SEM with EDX mapping,1
In situ Raman,1
In-situ thermal XRD,1
Electrochemical galvanostatic charge/discharge,1
UDDS driving cycle test,1
Real vehicle driving cycle test,1
Genetic algorithm optimization,1
Nitrogen sorption BET,1
"DFT (PW91, VASP)",1
DFT (surface energy calculations),1
Electrochemical stability window (CV),1
AC-impedance spectroscopy,1
Transference number measurement,1
HRXRD,1
BJH pore size distribution,1
"DFT (PBE-D3, HSE06)",1
Swelling Ratio,1
Peeling Test,1
Galvanostatic Cycling,1
In situ XAS,1
In situ UV–vis,1
Mass load measurement,1
Porosity measurement,1
Galvanostatic cycling (Li/Li symmetric),1
Galvanostatic charge-discharge (full cell),1
High-energy X-ray diffraction (HEXRD),1
X-ray Absorption Spectroscopy (XAS),1
Differential Electrochemical Mass Spectrometry (DEMS),1
Ionic conductivity test,1
Electronic conductivity test,1
Li-ion transference number,1
Mechanical tensile test,1
PDOS analysis,1
Performance comparison,1
Karl Fischer coulometric titration,1
Differential Scanning Calorimetry,1
Micro X-ray Fluorescence (μXRF),1
Density Functional Theory (plane-wave),1
Activation energy determination (Arrhenius),1
TXM-XANES,1
Nanotomography (TXM),1
Molecular Dynamics,1
Electrical resistance measurement,1
STEM-HAADF,1
In-situ synchrotron XRD,1
In-situ DEMS,1
X-ray Guinier powder diffraction,1
High-temperature X-ray Guinier,1
Far-IR spectroscopy,1
Electrochemical discharge test,1
X-ray powder diffraction (synchrotron),1
X-ray powder diffraction (laboratory),1
Solid-state NMR (6Li & 7Li),1
CCD measurement (galvanostatic),1
Layer-resolved PDOS,1
N2 adsorption/desorption (BET),1
XRD (Cu Kα),1
6Li MAS-NMR,1
6Li CP MAS-NMR,1
EDX line mapping,1
Nudged Elastic Band (DFT),1
Computational diffusion calculation,1
Experimental chemical diffusivity (literature),1
Computed vacancy self-diffusion,1
Electrochemical discharge capacity test,1
First-principles molecular dynamics (Car-Parrinello),1
Capacity fade modelling,1
Linear Sweep Voltammetry,1
Electronic band structure (DFT PBE & HSE06),1
Neutron Reflectivity,1
"Ab initio molecular dynamics (VASP, Born–Oppenheimer)",1
DFT phase stability calculation,1
Electrochemical cycling (symmetric cells),1
SEM / FIB-SEM,1
Micro-compression tester,1
Coulomb energy analysis + DFT,1
Neutron diffraction with Rietveld refinement,1
Soft X-ray absorption spectroscopy,1
X-ray fluorescence microscopy,1
FF-NEMD simulation,1
FF-MD simulation,1
DFT-NEMD simulation,1
Experimental measurement (Oishi et al.),1
Energy density evaluation,1
Safety testing,1
Haven Ratio measurement,1
DFT (CASTEP),1
TG–DTA,1
EMF measurement,1
DFT (LDA),1
coarse-grained molecular dynamics (CGMD),1
3D continuum performance simulation,1
23Na MAS NMR,1
Circular dichroism,1
DFT (GGA and GGA+U),1
31P ss-NMR (MAS),1
31P ss-NMR (MAS) – refocalization delay study,1
23Na ss-NMR (MAS),1
TEM (Transmission Electron Microscopy) with SAED,1
LAADF-STEM,1
Phase-contrast synchrotron XCT,1
Synchrotron XCT–diffraction mapping,1
Operando X-ray computed tomography (XCT),1
FIB-SEM with SIMS,1
On-line mass spectrometry,1
Microcantilever bending,1
Climbing Image Nudged Elastic Band (CI-NEB),1
Hybrid DFT (HSE06),1
SEM/TEM/EDX,1
"DFT (VASP, GGA+U)",1
Karl Fischer titration,1
Physical property measurement,1
FE-SEM/FIB,1
UV–vis spectrophotometry,1
Four-point probe,1
Electrochemical measurement,1
"DFT (GPAW, BEEF-vdW)",1
TEM / SAED,1
Electrochemical (half-cell),1
Electrochemical (powder process),1
Electrochemical (full-cell),1
Synchrotron X-ray Powder Diffraction (SXRPD),1
TEM/SAED,1
Dynamic Viscosity,1
Chronoamperometry (Devanathan–Stachurski cell),1
X-ray Guinier photography,1
Aberration-corrected TEM (TEAM 0.5),1
Electron diffraction,1
"Interlayer spacing measurement (unspecified, likely XRD)",1
Strain estimation (unspecified),1
Molecular dynamics (LAMMPS),1
Molecular dynamics temperature profiling,1
Speciation analysis from MD trajectories,1
Potential energy profiling of Li⁺,1
Density Functional Theory (DFT) calculations using VASP,1
Nudged Elastic Band (NEB) calculations,1
UV-Vis absorption and photoluminescence spectroscopy,1
Angle-dependent reflectivity,1
Ultrafast transient absorption/reflectivity spectroscopy,1
Purity assay,1
Gas sensing performance test,1
AC conductivity,1
Charge–discharge cycling,1
Electrical resistivity,1
Archimedes density,1
EDX line scan,1
Particle size analysis,1
"Structural parameters (theoretical, Figure 1)",1
Electronic band parameters (single-band model),1
Electrochemical (Galvanostatic charge–discharge),1
Coaxial Reflection Technique (CRT),1
DFT lattice relaxation,1
Electric field conductivity calculation,1
DFPT,1
Kinetic Monte Carlo,1
Machine Learning Logistic Regression,1
FTIR Spectroscopy,1
FE-SEM with EDS,1
X-ray tomography,1
Relative density (Archimedes),1
Vickers hardness,1
Symmetric Li||Li cycling,1
DFT (GGA-PAW),1
DFT adsorption energy calculations,1
Density Functional Theory (VASP),1
Phonon calculation (PHONON code),1
Galvanostatic polarization,1
DFT density of states,1
DFT magnetic moment analysis,1
Grand Potential Phase Diagram (GPPD),1
Climbing-Image NEB (CI-NEB),1
BET nitrogen physisorption,1
Nanoindentation (Berkovich),1
Single particle compression (Brazil-nut test),1
Cryo-FIB-SEM/TEM,1
Electrochemical (CCD test),1
Full-cell cycling,1
Lock-in thermography,1
Current/Voltage cycling,1
BET surface area analysis,1
Rate performance test,1
Flammability test,1
Purity determination,1
"DFT (CAM-B3LYP/6-311++G(d,p))",1
Bond population analysis,1
"CCSD/6-311++G(d,p)",1
AIMD (gas phase),1
QM/MM AIMD (solution),1
7Li static NMR,1
SPM,1
Total-Reflection Fluorescence X-ray Absorption Spectroscopy (TRF-XAS),1
Grazing incidence X-ray diffraction (GIXD),1
ATR-FT-IR,1
Scanning probe microscopy (SPM),1
UV–vis absorption spectroscopy,1
NQR,1
NMR,1
Atomic absorption analysis,1
Electrochemical galvanostatic cycling,1
"Density Functional Theory (DFT, PAW)",1
Phonon calculations (frozen phonon),1
7Li MAS NMR,1
Neutron Powder Diffraction,1
Synchrotron X-ray Powder Diffraction,1
Atom Probe Tomography,1
SQUID Magnetic Susceptibility,1
Electrochemical impedance spectroscopy (cell),1
Molecular dynamics,1
Simulated X-ray powder diffraction,1
Density Functional Theory (LDA-PAW),1
ARC (accelerating rate calorimetry),1
7Li solid-state NMR,1
Electron Spin Resonance (ESR),1
Density Functional Theory (PBE-GGA),1
Ionic conductivity (AC impedance),1
Energy dispersive X-ray spectroscopy,1
Synchrotron XRD (Rietveld refinement),1
CHN elemental analysis,1
UV-Vis DRS,1
BJH,1
EPMA,1
Full cell cycling test,1
Humidity exposure test,1
STEM,1
Polarization (Wagner–Hebb type),1
ESR,1
Optical absorption spectroscopy,1
Powder X-ray Diffraction,1
galvanostatic cycling,1
EDX Mapping,1
Photoluminescence,1
Electrical (FET) measurement,1
Battery testing (galvanostatic),1
Bond-Valence Kinetic Monte Carlo (BV-KMC),1
Graph Neural Network (M3GNet),1
Graph Convolutional Network (GCN) on BV graphs,1
"DFT (VASP, PBE)",1
Water contact angle,1
Helmholtz free energy surface analysis,1
Complex Impedance,1
115In NMR,1
N2 sorption,1
Synchrotron X-ray powder diffraction (Debye–Scherrer),1
Archimedes density measurement,1
electronic conductivity measurement,1
In-situ synchrotron X-ray diffraction,1
Density-Functional Perturbation Theory (DFPT),1
"Density Functional Theory (VASP, CASTEP)",1
Ab initio Molecular Dynamics (ATK),1
Capacity test (GCD),1
Optical microscopy (in situ),1
Galvanostatic discharge/charge,1
1H-NMR,1
Molecular dynamics simulation,1
"DFT (PBE, HSE06, G0W0)",1
Molecular Dynamics (classical),1
Contact angle (DFT-based Wad),1
Element counting in simulation cells,1
Structural parameters of GB cells,1
27Al NMR,1
Steady-state current measurement,1
Battery cycling test,1
7Li NMR spin–lattice relaxation (SLR),1
Electrochemical Cycling & Differential Voltage Analysis (DVA),1
Coin cell capacity testing,1
MALDI-ToF mass spectrometry,1
DFT (GGA-PBE),1
Conductivity measurement (impedance),1
X-ray Diffraction,1
EIS (pouch cell),1
Formation-energy calculation,1
Adsorption energy calculation,1
Density of States (DOS),1
Voltage profile calculation,1
Capacity calculation,1
porosity measurement,1
ionic conductivity test,1
electrolyte uptake test,1
Discharge voltage measurement,1
Efficiency measurement,1
Power density test,1
TGA–MS,1
Electrochemical (Galvanostatic),1
XRD (Rietveld refinement),1
DFT vs DP comparison,1
Li-ion conductivity measurement (MD),1
Literature experimental conductivities,1
Thermogravimetry (TG),1
Randles–Sevcik analysis,1
X-ray Diffraction (powder & single crystal),1
TG,1
Cone calorimeter,1
Nitrogen adsorption/desorption,1
Elemental analysis,1
First-principles calculations (DFT),1
Inductively Coupled Plasma Spectroscopy (ICP),1
DC conductivity,1
Energy Dispersive X-ray Spectroscopy (EDX),1
Electron Energy Loss Spectroscopy (EELS),1
Coulombic efficiency test (Ti/Zn cell),1
Cycling stability test,1
Self-discharge test,1
Classical Molecular Dynamics simulation,1
Quenched Molecular Dynamics energy calculation,1
Monte Carlo simulation (phonon-only constraint),1
Electrochemical stability window,1
Tap density measurement,1
Acid–base titration,1
Galvanostatic cycling (coin cell),1
Galvanostatic cycling (pouch cell),1
Car–Parrinello Molecular Dynamics (AIMD),1
Residence Time Analysis,1
Density of States calculation (DFT),1
CI-NEB calculation for oxygen vacancy migration,1
First-principles (DFT) total-energy calculations,1
