filename,title,doi,journal,year,paper_type,battery_subfield,score,verdict,num_targets,num_chemicals,num_synthesis_steps,num_operations,num_characterization,num_char_results,num_analysis_methods,num_ambiguities,has_yield,has_capacity,has_cycle_life
Anantharamulu_et_al__-_2011_-_A_wide-ranging_review_on_Nasicon_type_materials_reactions.json,A wide-ranging review on Nasicon type materials,10.1007/s10853-011-5302-5,Journal of Materials Science,2011,review,solid-state electrolyte,98.46,Excellent,3,7,3,3,0,0,0,2,False,False,False
Andriyevsky_et_al__-_2017_-_Ab_initio_molecular_dynamics_study_of_lithium_diff_reactions.json,Ab initio molecular dynamics study of lithium diffusion in tetragonal Li7La3Zr2O12,10.1016/j.matchemphys.2016.10.025,Materials Chemistry and Physics,2017,computational study,solid-state electrolyte,90.48,Excellent,1,4,0,0,3,9,1,0,False,False,False
Angew_Chem_Int_Ed_-_2008_-_Deiseroth_-_Li6PS5X__A_Class_of_Crystalline_Li_Rich_Solids_With_an_Unusually_High_Li__Mobility_reactions.json,Li6PS5X: A Class of Crystalline Li-Rich Solids With an Unusually High Li+ Mobility,10.1002/anie.200703900,Angewandte Chemie International Edition,2008,inorganic_synthesis,solid-state electrolyte,97.3,Excellent,3,6,4,5,3,7,0,2,False,False,False
Angew_Chem_Int_Ed_-_2019_-_Wang_-_Lithium_Chlorides_and_Bromides_as_Promising_Solid_State_Chemistries_for_Fast_Ion-suppl_reactions.json,Lithium Chlorides and Bromides as Promising Solid-State Chemistries for Fast Ion Conductors with Good Electrochemical Stability (Supporting Information),,,,computational study,solid-state electrolyte,100.0,Excellent,2,2,0,0,2,20,1,0,False,False,False
Angew_Chem_Int_Ed_-_2019_-_Wang_-_Lithium_Chlorides_and_Bromides_as_Promising_Solid_State_Chemistries_for_Fast_Ion_reactions.json,Lithium Chlorides and Bromides as Promising Solid-State Chemistries for Fast Ion Conductors with Good Electrochemical Stability,10.1002/anie.201901938,Angewandte Chemie International Edition,2019,computational study,solid-state electrolyte,100.0,Excellent,6,6,0,0,2,14,1,0,False,False,False
Aparicio_and_De_Leeuw_-_2020_-_Electronic_structure__ion_diffusion_and_cation_dop_reactions.json,"Electronic structure, ion diffusion and cation doping in the Na4VO(PO4)2 compound as a cathode material for Na-ion batteries",10.1039/c9cp05559b,Physical Chemistry Chemical Physics,2020,computational study,cathode,98.18,Excellent,2,7,0,0,2,3,2,0,False,False,False
Archer_and_Armstrong_-_1981_-_Electrochemical_properties_of_LiBr_H2O_reactions.json,"ELECTROCHEMICAL PROPERTIES OF LiBr.H,O",,,1981,research-article,solid-state electrolyte,80.7,Good,1,4,3,3,4,6,1,2,False,False,False
Arunkumar_et_al__-_2016_-_Improved_electrochemical_reversibility_of_over-lit_reactions.json,Improved electrochemical reversibility of over-lithiated layered Li2RuO3 cathodes: Understanding aliovalent Co3+ substitution with excess lithium,10.1016/j.jpowsour.2016.05.013,Journal of Power Sources,2016,research-article,cathode,84.88,Good,4,9,3,6,3,4,1,4,False,True,True
Asenbauer_et_al__-_2020_-_The_success_story_of_graphite_as_a_lithium-ion_ano_reactions.json,"The success story of graphite as a lithium-ion anode material – fundamentals, remaining challenges, and recent developments including silicon (oxide) composites",10.1039/d0se00175a,Sustainable Energy & Fuels,2020,review,anode,96.23,Excellent,2,6,2,4,0,0,0,2,False,False,False
Assegie_et_al__-_2018_-_Polyethylene_oxide_film_coating_enhances_lithium_c_reactions.json,Polyethylene oxide film coating enhances lithium cycling efficiency of an anode-free lithium-metal battery,10.1039/c7nr09058g,Nanoscale,2018,research-article,anode,76.27,Good,1,18,5,7,3,4,1,1,False,True,True
Ayadi_et_al__-_2022_-_State_estimation_methodologies_for_lithium-sulfur__reactions.json,State estimation methodologies for lithium-sulfur battery management systems,10.1016/B978-0-12-819676-2.00006-2,Lithium-Sulfur Batteries (Book Chapter),2022,review,Li-S,100.0,Excellent,0,0,0,0,4,9,2,1,False,False,False
Azhari_et_al__-_2020_-_Recycling_for_All_Solid-State_Lithium-Ion_Batterie_reactions.json,Recycling for All Solid-State Lithium-Ion Batteries,10.1016/j.matt.2020.10.027,Matter,2020,perspective,solid-state electrolyte,98.13,Excellent,3,11,8,8,2,0,0,2,False,False,False
B_ckenfeld_and_Balducci_-_2014_-_Determination_of_sodium_ion_diffusion_coefficients_reactions.json,Determination of sodium ion diffusion coefficients in sodium vanadium phosphate,10.1007/s10008-013-2342-6,Journal of Solid State Electrochemistry,2014,research article,solid-state electrolyte,79.53,Good,1,13,10,12,6,12,2,0,False,True,True
Bai_et_al__-_2018_-_Interactions_between_Lithium_Growths_and_Nanoporou_reactions.json,Interactions between Lithium Growths and Nanoporous Ceramic Separators,10.1016/j.joule.2018.08.018,Joule,2018,electrochemical cell assembly and testing,anode,96.7,Excellent,2,11,5,13,2,2,3,2,False,False,False
Baktash_et_al__-_2020_-_Diffusion_of_lithium_ions_in_Lithium-argyrodite_so_reactions.json,Diffusion of lithium ions in Lithium-argyrodite solid-state electrolytes,10.1038/s41524-020-00432-1,npj Computational Materials,2020,computational study,solid-state electrolyte,100.0,Excellent,3,0,0,0,3,13,1,1,False,False,False
Banerjee_et_al__-_2014_-_Possible_application_of_2D-boron_sheets_as_anode_m_reactions.json,Possible application of 2D-boron sheets as anode material in lithium ion battery: A DFT and AIMD study,10.1039/c3ta14041e,Journal of Materials Chemistry A,2014,computational study,anode,92.86,Excellent,1,4,0,0,3,7,1,0,False,True,False
Barbosa_et_al__-_2021_-_Metal_organic_frameworks_and_zeolite_materials_as__reactions.json,Metal–organic frameworks and zeolite materials as active fillers for lithium-ion battery solid-polymer electrolytes,10.1039/d1ma00244a,Materials Advances,2021,review,electrolyte (liquid/polymer),100.0,Excellent,1,3,1,1,0,0,2,1,False,True,False
Barroso-Luque_et_al__-_2020_-_An_Analysis_of_Solid-State_Electrodeposition-Induc_reactions.json,An Analysis of Solid-State Electrodeposition-Induced Metal Plastic Flow and Predictions of Stress States in Solid Ionic Conductor Defects,10.1149/1945-7111/ab6c5b,Journal of The Electrochemical Society,2020,research-article,other/general,100.0,Excellent,0,0,0,0,0,0,0,0,False,False,False
Barzacchi_et_al__-_2022_-_Enabling_early_detection_of_lithium-ion_battery_de_reactions.json,Enabling early detection of lithium-ion battery degradation by linking electrochemical properties to equivalent circuit model parameters,10.1016/j.est.2022.104213,Journal of Energy Storage,2022,research article,other/general,97.5,Excellent,0,6,0,0,1,1,1,0,False,False,False
Bedrov_et_al__-_2019_-_Molecular_Dynamics_Simulations_of_Ionic_Liquids_an_reactions.json,Molecular Dynamics Simulations of Ionic Liquids and Electrolytes Using Polarizable Force Fields,10.1021/acs.chemrev.8b00763,Chemical Reviews,2019,review,electrolyte (liquid/polymer),100.0,Excellent,0,0,0,0,0,0,0,0,False,False,False
Bhardwaj_et_al__-_2022_-_High-Performance_Li-Metal-Free_Sulfur_Battery_Empl_reactions.json,High-Performance Li-Metal-Free Sulfur Battery Employing a Lithiated Anatase TiO2 Anode and a Freestanding Li2S−Carbon Aerogel Cathode,10.1021/acssuschemeng.1c06581,ACS Sustainable Chemistry & Engineering,2022,research article,cathode,87.8,Good,3,14,6,15,6,10,1,2,False,True,True
Bittihn_-_1983_-_Self_discharge_of_Li3N_based_all_solid_state_cells_reactions.json,SELF DISCHARGE OF Li3N BASED ALL SOLID STATE CELLS,,Solid State Ionics,1983,research article,other/general,98.77,Excellent,2,7,5,7,4,8,1,3,False,False,False
Bollinger_et_al__-_2003_-_Atomic_and_electronic_structure_of_MoS_2_nanoparti_reactions.json,Atomic and electronic structure of MoS2 nanoparticles,10.1103/PhysRevB.67.085410,Physical Review B,2003,theoretical study,computational/ML,97.22,Excellent,1,3,1,1,1,1,1,1,False,False,False
Booth_et_al__-_2021_-_Perspectives_for_next_generation_lithium-ion_batte_reactions.json,Perspectives for next generation lithium-ion battery cathode materials,10.1063/5.0051092,APL Materials,2021,review,cathode,100.0,Excellent,0,0,0,0,0,0,0,0,False,False,False
Boulineau_et_al__-_2012_-_Mechanochemical_synthesis_of_Li-argyrodite_Li6PS5X_reactions.json,"Mechanochemical synthesis of Li-argyrodite Li6PS5X (X=Cl, Br, I) as sulfur-based solid electrolytes for all solid state batteries application",10.1016/j.ssi.2012.06.008,Solid State Ionics,2012,research article,solid-state electrolyte,75.53,Good,3,9,3,3,7,22,0,1,False,True,False
Br_esch_et_al__-_1975_-_Frequency-dependent_conductivity_and_dielectric_fu_reactions.json,Frequency-Dependent Conductivity and Dielectric Function of Superionic Conductors,,physica status solidi (a),1976,research article,ion transport,97.73,Excellent,1,4,2,4,1,6,2,1,False,False,False
Brant_et_al__-_2015_-_Fast_Lithium_Ion_Conduction_in_Li_2_SnS_reactions.json,"Fast Lithium Ion Conduction in Li2SnS3: Synthesis, Physicochemical Characterization, and Electronic Structure",10.1021/cm5037524,Chemistry of Materials,2015,research article,solid-state electrolyte,98.04,Excellent,1,4,3,6,2,9,2,0,False,False,False
Braun_et_al__-_2015_-_Thermodynamically_Consistent_Model_for_Space-Charg_reactions.json,Thermodynamically Consistent Model for Space-Charge-Layer Formation in a Solid Electrolyte,10.1021/acs.jpcc.5b02679,Journal of Physical Chemistry C,2015,research-article,solid-state electrolyte,96.55,Excellent,0,4,0,0,0,0,1,0,False,False,False
Brotchie_-_2016_-_Li-Metal_Batteries_Enter_the_anode_matrix_reactions.json,Composite lithium metal anode by melt infusion of lithium into a 3D conducting scaffold with lithiophilic coating,10.1073/pnas.1518188113,Proceedings of the National Academy of Sciences USA,2016,materials synthesis,anode,80.49,Good,1,3,3,4,0,0,0,2,False,False,False
Bruce_et_al__-_2012_-_Li_O2_and_Li_S_batteries_with_high_energy_storage_reactions.json,Li–O2 and Li–S batteries with high energy storage,10.1038/NMAT3191,Nature Materials,2012,review article,other/general,92.73,Excellent,3,6,0,0,2,3,1,1,False,True,False
Buannic_et_al__-_2017_-_Dual_Substitution_Strategy_to_Enhance_Li__s_reactions.json,Dual Substitution Strategy to Enhance Li+ Ionic Conductivity in Li7La3Zr2O12 Solid Electrolyte,10.1021/acs.chemmater.6b05369,Chemistry of Materials,2017,materials_synthesis,solid-state electrolyte,83.19,Good,3,12,7,9,6,12,1,2,False,False,False
Buschmann_et_al__-_2012_-_Lithium_metal_electrode_kinetics_and_ionic_conduct_reactions.json,Lithium metal electrode kinetics and ionic conductivity of the solid lithium ion conductors “Li7La3Zr2O12” and Li7−xLa3Zr2−xTaxO12 with garnet-type structure,10.1016/j.jpowsour.2012.01.094,Journal of Power Sources,2012,research article,solid-state electrolyte,98.84,Excellent,5,6,5,8,3,8,1,1,False,False,False
Butler_et_al__-_2019_-_Designing_interfaces_in_energy_materials_applicati_reactions.json,Designing interfaces in energy materials applications with first-principles calculations,https://doi.org/10.1038/s41524-019-0160-9,npj Computational Materials,2019,review article,interface/interphase,100.0,Excellent,0,0,0,0,0,0,0,0,False,False,False
Byeon_et_al__-_2017_-_Two-Dimensional_Titanium_Carbide_MXene_As_a_Cathod_reactions.json,Two-Dimensional Titanium Carbide MXene As a Cathode Material for Hybrid Magnesium/Lithium-Ion Batteries,10.1021/acsami.6b04198,ACS Applied Materials & Interfaces,2017,research article,cathode,90.91,Excellent,3,9,3,3,5,9,1,1,False,True,True
Calegari_Andrade_et_al__-_2018_-_Structure__Polarization__and_Sum_Frequency_Generat_reactions.json,"Structure, Polarization, and Sum Frequency Generation Spectrum of Interfacial Water on Anatase TiO 2",10.1021/acs.jpclett.8b03103,The Journal of Physical Chemistry Letters,2018,computational study,other/general,92.59,Excellent,0,2,0,0,2,4,1,0,False,False,False
Calvo_-_2019_-_Electrochemical_methods_for_sustainable_recovery_o_reactions.json,Electrochemical methods for sustainable recovery of lithium from natural brines and battery recycling,10.1016/j.coelec.2019.04.010,Current Opinion in Electrochemistry,2019,review article,recycling,90.54,Excellent,1,6,6,7,3,3,1,2,False,False,False
Canongia_Lopes_and_P_dua_-_2004_-_Molecular_Force_Field_for_Ionic_Liquids_Composed_o_reactions.json,Molecular Force Field for Ionic Liquids Composed of Triflate or Bistriflylimide Anions,10.1021/jp0476545,The Journal of Physical Chemistry B,2004,computational chemistry / force-field development,electrolyte (liquid/polymer),94.74,Excellent,3,5,0,0,4,8,0,0,False,False,False
Catti_and_Montero-Campillo_-_2011_-_Lithium_diffusion_pathways_and_vacancy_formation_i_reactions.json,Lithium diffusion pathways and vacancy formation in the Pmmn-Li1−xFeO2 electrode material,10.1039/c1cp20551j,Physical Chemistry Chemical Physics,2011,computational study,ion transport,98.11,Excellent,2,5,0,0,4,10,1,1,False,False,False
Ceder_et_al__-_1998_-_Identification_of_cathode_materials_for_lithium_ba_reactions.json,Identification of cathode materials for lithium batteries guided by first-principles calculations,,Nature,1998,research article,cathode,98.02,Excellent,1,11,7,11,4,6,2,2,False,True,True
Cha_et_al__-_2021_-_A_mechanistic_review_of_lithiophilic_materials_re_reactions.json,A mechanistic review of lithiophilic materials: resolving lithium dendrites and advancing lithium-metal-based batteries,10.1039/d1qm00579k,Materials Chemistry Frontiers,2021,review,solid-state electrolyte,100.0,Excellent,0,0,0,0,0,0,0,0,False,False,False
Chakraborty_et_al__-_2018_-_Current_computational_trends_in_polyanionic_cathod_reactions.json,Current computational trends in polyanionic cathode materials for Li and Na batteries,10.1088/1361-648X/aac62d,Journal of Physics: Condensed Matter,2018,review,cathode,100.0,Excellent,0,0,0,0,0,0,0,1,False,False,False
Chakraborty_et_al__-_2020_-_Layered_Cathode_Materials_for_Lithium-Ion_Batterie_reactions.json,Layered Cathode Materials for Lithium-Ion Batteries: Review of Computational Studies on LiNi1−x−yCoxMnyO2 and LiNi1−x−yCoxAlyO2,10.1021/acs.chemmater.9b04066,Chemistry of Materials,2020,review,cathode,97.22,Excellent,5,0,0,0,1,2,0,1,False,False,False
Chang_et_al__-_2014_-_Multilayered_Si_NanoparticleReduced_Graphene_Oxid_reactions.json,Multilayered Si Nanoparticle/Reduced Graphene Oxide Hybrid as a High-Performance Lithium-Ion Battery Anode,10.1002/adma.201302757,Advanced Materials,2014,research article,anode,98.7,Excellent,2,7,4,6,4,8,2,0,False,True,True
Chang_et_al__-_2014_-_Rechargeable_LiBr_battery_a_promising_platform__reactions.json,Rechargeable Li//Br battery: a promising platform for post lithium ion batteries,10.1039/c4ta04419c,Journal of Materials Chemistry A,2014,battery research paper,electrolyte (liquid/polymer),75.0,Good,3,11,4,4,5,12,1,3,False,True,True
Cheenicode_Kabeer_et_al__-_2017_-_First-Principles_Study_of_Alkoxides_Adsorbed_on_Au_reactions.json,First-Principles Study of Alkoxides Adsorbed on Au(111) and Au(110) Surfaces: Assessing the Roles of Noncovalent Interactions and Molecular Structures in Catalysis,10.1021/acs.jpcc.7b06641,Journal of Physical Chemistry C,2017,computational study,computational/ML,100.0,Excellent,8,2,0,0,2,4,2,0,False,False,False
ChemSusChem_-_2024_-_Lei_-_Extraction_Of_LiCl_From_Low_Purity_Chlorides_Through_Solid_Electrolyte_Towards_High_Purity_reactions.json,Extraction Of LiCl From Low-Purity Chlorides Through Solid Electrolyte Towards High-Purity Li2CO3 Production,10.1002/cssc.202301406,ChemSusChem,2024,research article,solid-state electrolyte,83.46,Good,3,13,8,17,6,12,1,2,False,False,False
Chen_and_Dahn_-_2004_-_Methods_to_obtain_excellent_capacity_retention_in__reactions.json,Methods to obtain excellent capacity retention in LiCoO2 cycled to 4.5 V,10.1016/j.electacta.2003.10.019,Electrochimica Acta,2004,research-article,other/general,92.05,Excellent,5,7,3,4,5,8,1,2,False,True,True
Chen_and_Dahn_-_Improving_the_Capacity_Retention_of_LiCoO2_Cycled__reactions.json,Improving the Capacity Retention of LiCoO2 Cycled to 4.5 V by Heat-Treatment,10.1149/1.1628871,Electrochemical and Solid-State Letters,2004,materials synthesis & electrochemistry,other/general,81.25,Good,3,11,6,12,1,2,1,3,False,False,False
Chen_et_al__-_2018_-_Insights_into_Grain_Boundary_in_Lithium-Rich_Anti-_reactions.json,Insights into Grain Boundary in Lithium-Rich Anti-Perovskite as Solid Electrolytes,10.1149/2.0831816jes,Journal of The Electrochemical Society,2018,computational study,solid-state electrolyte,93.33,Excellent,1,1,0,0,3,13,1,0,False,False,False
Chen_et_al__-_2018_-_Understanding_the_apparent_fractional_charge_of_pr_reactions.json,Understanding the apparent fractional charge of protons in the aqueous electrochemical double layer,10.1038/s41467-018-05511-y,Nature Communications,2018,computational study,interface/interphase,85.19,Good,2,4,2,7,3,9,1,1,False,False,False
Chen_et_al__-_2019_-_Cation_and_anion_Co-doping_synergy_to_improve_stru_reactions.json,Cation and anion Co-doping synergy to improve structural stability of Li- and Mn-rich layered cathode materials for lithium-ion batteries,10.1016/j.nanoen.2018.12.049,Nano Energy,2019,research article,cathode,98.81,Excellent,2,8,4,7,5,8,1,3,False,True,True
Chen_et_al__-_2019_-_Lithiophilicity_chemistry_of_heteroatom-doped_carb_reactions.json,Lithiophilicity chemistry of heteroatom-doped carbon to guide uniform lithium nucleation in lithium metal anodes,10.1126/sciadv.aau7728,Science Advances,2019,materials synthesis and electrochemistry,anode,79.79,Good,3,10,5,8,3,8,0,2,False,False,False
Chen_et_al__-_2019_-_Recycling_End-of-Life_Electric_Vehicle_Lithium-Ion_reactions.json,Recycling End-of-Life Electric Vehicle Lithium-Ion Batteries,10.1016/j.joule.2019.09.014,Joule,2019,perspective_review,recycling,98.92,Excellent,8,6,6,9,0,0,1,1,False,False,False
Chen_et_al__-_2021_-_Free-standing_ultrathin_lithium_metal_graphene_oxi_reactions.json,Free-standing ultrathin lithium metal–graphene oxide host foils with controllable thickness for lithium batteries,10.1038/s41560-021-00833-6,Nature Energy,2021,research article,anode,84.62,Good,2,5,4,6,7,13,0,2,False,False,True
Chen_et_al__-_2021_-_Role_of_Lithiophilic_Metal_Sites_in_Lithium_Metal__reactions.json,Role of Lithiophilic Metal Sites in Lithium Metal Anodes,10.1021/acs.energyfuels.1c01602,Energy & Fuels,2021,research_article,anode,98.92,Excellent,3,9,5,5,4,18,1,2,False,False,False
Chen_et_al__-_2022_-_Review_on_Defects_and_Modification_Methods_of_LiFe_reactions.json,Review on Defects and Modification Methods of LiFePO4 Cathode Material for Lithium-Ion Batteries,10.1021/acs.energyfuels.1c03757,Energy & Fuels,2022,review,cathode,98.18,Excellent,1,0,0,0,31,34,0,1,False,False,False
Chen_et_al__-_Staging_Phase_Transitions_in_LixCoO2_reactions.json,Staging Phase Transitions in Li xCoO2,10.1149/1.1519850,Journal of The Electrochemical Society,2002,materials_synthesis_and_electrochemistry,cathode,99.09,Excellent,2,14,6,11,3,7,1,1,False,True,False
Cheng_et_al__-_2013_-_Self-assembled_V2O5_nanosheetsreduced_graphene_ox_reactions.json,Self-assembled V2O5 nanosheets/reduced graphene oxide hierarchical nanocomposite as a high-performance cathode material for lithium ion batteries,10.1039/c3ta12066j,Journal of Materials Chemistry A,2013,materials_synthesis,cathode,80.0,Good,1,5,8,9,7,7,1,1,False,True,True
Cheng_et_al__-_2016_-_A_Review_of_Solid_Electrolyte_Interphases_on_Lithi_reactions.json,A Review of Solid Electrolyte Interphases on Lithium Metal Anode,10.1002/advs.201500213,Advanced Science,2016,review,solid-state electrolyte,98.33,Excellent,0,8,0,0,5,5,1,1,False,False,False
Cheng_et_al__-_2017_-_Quantum_Mechanics_Reactive_Dynamics_Study_of_Solid_reactions.json,Quantum Mechanics Reactive Dynamics Study of Solid Li-Electrode/Li6PS5Cl-Electrolyte Interface,10.1021/acsenergylett.7b00319,ACS Energy Letters,2017,computational study,solid-state electrolyte,98.98,Excellent,6,7,6,6,3,6,1,1,False,False,False
Cheng_et_al__-_2019_-_Understanding_the_Lithium_Storage_Mechanism_of_Ti__reactions.json,Understanding the Lithium Storage Mechanism of Ti3C2Tx MXene,10.1021/acs.jpcc.8b10790,Journal of Physical Chemistry C,2019,materials_synthesis_and_evaluation,2D materials,94.29,Excellent,4,11,5,12,4,8,1,2,False,True,False
Cheng_et_al__-_2020_-_Revealing_the_Impact_of_Space-Charge_Layers_on_the_reactions.json,Revealing the Impact of Space-Charge Layers on the Li-Ion Transport in All-Solid-State Batteries,10.1016/j.joule.2020.04.002,Joule,2020,materials characterization study,solid-state electrolyte,99.0,Excellent,5,7,6,8,5,16,1,3,False,False,False
Cheng_et_al__-_2020_-_Unveiling_the_Stable_Nature_of_the_Solid_Electroly_reactions.json,Unveiling the Stable Nature of the Solid Electrolyte Interphase between Lithium Metal and LiPON via Cryogenic Electron Microscopy,10.1016/j.joule.2020.08.013,Joule,2020,materials_synthesis,solid-state electrolyte,97.8,Excellent,2,8,5,5,6,7,0,3,False,False,True
Cheng_et_al__-_2022_-_Degradation_Mechanism_of_All-Solid-State_Li-Metal__reactions.json,Degradation Mechanism of All-Solid-State Li-Metal Batteries Studied by Electrochemical Impedance Spectroscopy,10.1021/acsami.2c09841,ACS Applied Materials & Interfaces,2022,research article,solid-state electrolyte,99.11,Excellent,5,11,5,21,5,6,1,2,False,True,True
Cherkashinin_et_al__-_2019_-_Performance_of_Li-Ion_Batteries_Contribution_of_E_reactions.json,Performance of Li-Ion Batteries: Contribution of Electronic Factors to the Battery Voltage,10.1149/2.0441903jes,Journal of The Electrochemical Society,2019,research-article,cathode,76.92,Good,7,9,7,7,4,28,1,3,False,False,False
Cho_et_al__-_2018_-_Improved_particle_hardness_of_Ti-doped_LiNi13Co1_reactions.json,Improved particle hardness of Ti-doped LiNi1/3Co1/3Mn1/3-xTixO2 as high-voltage cathode material for lithium-ion batteries,10.1016/j.jpcs.2018.08.008,Journal of Physics and Chemistry of Solids,2018,research article,cathode,99.04,Excellent,2,12,5,8,5,14,1,2,False,True,True
Choi_and_Aurbach_-_2016_-_Promise_and_reality_of_post-lithium-ion_batteries__reactions.json,Promise and reality of post-lithium-ion batteries with high energy densities,10.1038/natrevmats.2016.13,Nature Reviews Materials,2016,review,other/general,100.0,Excellent,0,0,0,0,0,0,0,0,False,False,False
