normalized_method,count
Galvanostatic discharge test,1
Solubility-based capacity estimate,1
Sum Frequency Generation (SFG) spectral simulation,1
Quantum chemical geometry optimisation,1
Single-point energy (torsion profile),1
Activation energy calculations,1
Density of States (DOS) analysis,1
Mulliken population analysis,1
Open-circuit voltage measurement,1
Electrochemical Impedance / Polarization,1
Plane-integrated electron density analysis,1
Projected density of states (PDOS),1
Embedded wavefunction charge analysis,1
Li nucleation overpotential measurement,1
Electrochemical stripping,1
Galvanostatic Plating/Stripping,1
In situ Optical Microscopy,1
dQ/dV analysis,1
UPS,1
Photoelectron spectroscopy – derived electronic properties,1
Particle hardness test (micro compression),1
TauFactor tortuosity analysis,1
Safety testing (nail penetration),1
Battery polarization testing,1
Surface tension measurement,1
Freezing test,1
Electrochemical observation (optical imaging),1
Pair distribution function (PDF),1
Time-of-Flight Secondary Ion Mass Spectroscopy (TOF-SIMS),1
Restricted diffusion (emf/optical),1
Moving boundary method,1
Hittorf method,1
Four-point probe conductivity,1
Current/potential step technique,1
Micropolarization,1
Rheology (flow curve),1
180-degree peel test,1
Laser microscopy,1
Mercury porosimetry,1
UV/vis spectroscopy,1
SR-PXD,1
Operando SR-PXD,1
Galvanostatic discharge (Al/S cell),1
Elastic Tensor Analysis,1
Surface tension (Wilhelmy Plate tensiometer),1
Rheology (Kinexus Pro+ parallel plate),1
Mass measurement,1
Ultraviolet Photoelectron Spectroscopy (UPS),1
Rheology (rotational rheometer),1
Mechanical testing (force sensor & micrometer),1
Thickness measurement (micrometer),1
Density measurement,1
Force-field elastic property calculation,1
Machine Learning (Gradient Boosting Regressor),1
Mean square displacement (MSD),1
Diffusion Quantum Monte Carlo (DMC),1
SSNEB (Solid-State Nudged Elastic Band),1
Phonon calculations,1
Transient Planar Source (TPS),1
Specific heat measurement (NETZSCH),1
Battery thermal testing,1
GW quasi-particle energy calculations,1
Constant current cycling,1
Cluster Expansion (energy CE),1
Cluster Expansion (moment CE),1
Current–Voltage (I–V) measurement,1
Magnetoresistance measurement,1
Capacity retention test,1
Average voltage determination,1
Elemental analysis (CHN),1
Linear polarization,1
Electrical resistivity measurement,1
Electrochemical impedance / transference number,1
Compression creep testing,1
Space-charge modelling,1
Rutherford Backscattering Spectrometry (RBS),1
H2S generation test,1
Coulombic efficiency measurement,1
Defect migration barrier calculation (NEB),1
Potentiostatic polarization,1
Laser particle size analysis,1
Three-point bending,1
Critical current density test,1
Phase Field Dislocation Dynamics (PFDD),1
Nudge Elastic Band (NEB),1
Coordination Number Analysis,1
Bader Charge Analysis,1
Vibrational Density of States,1
SIMS,1
Stylus profilometry (Dektak 8),1
Resistivity measurement,1
density measurement,1
PBE bandgap calculation,1
Current pulse method,1
V-I characterization,1
Poisson equation simulation,1
X-ray computed tomography,1
Equivalent circuit parameter determination,1
Potential of Mean Force (PMF) Calculation,1
Electrochemical testing (full cell),1
Differential capacity analysis,1
Operando optical microscopy,1
Electrochemical charge–discharge test,1
FT-IR (ATR),1
diffusion measurement,1
Classical pair potential simulation (GULP),1
Polarizing microscopy (hot stage),1
Mass Spectrometry (ESI),1
Melting Point,1
Continuum model,1
Mean square displacement analysis,1
Activation energy calculation,1
Cycling Performance Test,1
RXES,1
SRIM simulation,1
HRMS (ESI),1
Luminescence spectroscopy,1
Average voltage calculation,1
Electronic band structure,1
Symmetric cell plating/stripping,1
UDDS driving cycle test,1
Real vehicle driving cycle test,1
Genetic algorithm optimization,1
Transference number measurement,1
BJH pore size distribution,1
Swelling Ratio,1
Peeling Test,1
In situ UV–vis,1
Mass load measurement,1
Porosity measurement,1
Differential Electrochemical Mass Spectrometry (DEMS),1
Li-ion transference number,1
Mechanical tensile test,1
PDOS analysis,1
Performance comparison,1
Karl Fischer coulometric titration,1
Micro X-ray Fluorescence (μXRF),1
Activation energy determination (Arrhenius),1
Nanotomography (TXM),1
Electrical resistance measurement,1
In-situ DEMS,1
X-ray Guinier powder diffraction,1
Electrochemical discharge test,1
CCD measurement (galvanostatic),1
Layer-resolved PDOS,1
Computational diffusion calculation,1
Experimental chemical diffusivity (literature),1
Computed vacancy self-diffusion,1
Electrochemical discharge capacity test,1
Capacity fade modelling,1
Neutron Reflectivity,1
Micro-compression tester,1
X-ray fluorescence microscopy,1
Experimental measurement (Oishi et al.),1
Energy density evaluation,1
Safety testing,1
Haven Ratio measurement,1
EMF measurement,1
3D continuum performance simulation,1
Circular dichroism,1
Phase-contrast synchrotron XCT,1
Synchrotron XCT–diffraction mapping,1
Operando X-ray computed tomography (XCT),1
On-line mass spectrometry,1
Microcantilever bending,1
Climbing Image Nudged Elastic Band (CI-NEB),1
Karl Fischer titration,1
Physical property measurement,1
UV–vis spectrophotometry,1
Four-point probe,1
Electrochemical measurement,1
Electrochemical (half-cell),1
Electrochemical (powder process),1
Electrochemical (full-cell),1
Dynamic Viscosity,1
Chronoamperometry (Devanathan–Stachurski cell),1
X-ray Guinier photography,1
Electron diffraction,1
Strain estimation (unspecified),1
Speciation analysis from MD trajectories,1
Potential energy profiling of Li⁺,1
Nudged Elastic Band (NEB) calculations,1
Angle-dependent reflectivity,1
Ultrafast transient absorption/reflectivity spectroscopy,1
Purity assay,1
Gas sensing performance test,1
AC conductivity,1
Charge–discharge cycling,1
Electrical resistivity,1
Archimedes density,1
Particle size analysis,1
"Structural parameters (theoretical, Figure 1)",1
Electronic band parameters (single-band model),1
Electrochemical (Galvanostatic charge–discharge),1
Coaxial Reflection Technique (CRT),1
Electric field conductivity calculation,1
DFPT,1
Kinetic Monte Carlo,1
Machine Learning Logistic Regression,1
X-ray tomography,1
Relative density (Archimedes),1
Vickers hardness,1
Symmetric Li||Li cycling,1
Phonon calculation (PHONON code),1
Galvanostatic polarization,1
CI-NEB calculation for oxygen vacancy migration,1
Grand Potential Phase Diagram (GPPD),1
Climbing-Image NEB (CI-NEB),1
Nanoindentation (Berkovich),1
Single particle compression (Brazil-nut test),1
Electrochemical (CCD test),1
Full-cell cycling,1
Lock-in thermography,1
Current/Voltage cycling,1
Rate performance test,1
Flammability test,1
Purity determination,1
Bond population analysis,1
"CCSD/6-311++G(d,p)",1
SPM,1
ATR-FT-IR,1
Scanning probe microscopy (SPM),1
UV–vis absorption spectroscopy,1
NQR,1
Atomic absorption analysis,1
Phonon calculations (frozen phonon),1
Atom Probe Tomography,1
SQUID Magnetic Susceptibility,1
ARC (accelerating rate calorimetry),1
Electron Spin Resonance (ESR),1
Energy dispersive X-ray spectroscopy,1
CHN elemental analysis,1
BJH,1
EPMA,1
Full cell cycling test,1
Humidity exposure test,1
Polarization (Wagner–Hebb type),1
ESR,1
Optical absorption spectroscopy,1
Photoluminescence,1
Electrical (FET) measurement,1
Bond-Valence Kinetic Monte Carlo (BV-KMC),1
Graph Neural Network (M3GNet),1
Graph Convolutional Network (GCN) on BV graphs,1
Water contact angle,1
Helmholtz free energy surface analysis,1
N2 sorption,1
Archimedes density measurement,1
Density-Functional Perturbation Theory (DFPT),1
Optical microscopy (in situ),1
Galvanostatic discharge/charge,1
Element counting in simulation cells,1
Structural parameters of GB cells,1
Steady-state current measurement,1
Battery cycling test,1
Coin cell capacity testing,1
MALDI-ToF mass spectrometry,1
Formation-energy calculation,1
Adsorption energy calculation,1
Density of States (DOS),1
Voltage profile calculation,1
Capacity calculation,1
porosity measurement,1
electrolyte uptake test,1
Discharge voltage measurement,1
Efficiency measurement,1
Power density test,1
Electrochemical (Galvanostatic),1
Literature experimental conductivities,1
Randles–Sevcik analysis,1
Cone calorimeter,1
Elemental analysis,1
DC conductivity,1
Coulombic efficiency test (Ti/Zn cell),1
Cycling stability test,1
Self-discharge test,1
Monte Carlo simulation (phonon-only constraint),1
Electrochemical stability window,1
