filename,title,doi,journal,year,raw_paper_type,paper_category,has_experimental_section,score,verdict,num_targets,num_chemicals,num_synthesis_steps,num_operations,num_characterization,num_char_results,char_methods_normalized,tags
Ahmed_et_al__-_2016_-_Energy_impact_of_cathode_drying_and_solvent_recove_reactions.json,Energy impact of cathode drying and solvent recovery during lithium-ion battery manufacturing,10.1016/j.jpowsour.2016.04.102,Journal of Power Sources,2016,research article,experimental_synthesis,True,98.77,Excellent,2,6,9,10,0,0,,lithium-ion battery|cathode drying|NMP recovery|process energy analysis
Ai_et_al__-_2022_-_A_coupled_phase_field_formulation_for_modelling_fa_reactions.json,A coupled phase field formulation for modelling fatigue cracking in lithium-ion battery electrode particles,10.1016/j.jpowsour.2022.231805,Journal of Power Sources,2022,simulation study,computational,False,100.0,Excellent,0,1,0,0,1,1,X-ray Computed Tomography (X-CT),phase field modelling|battery electrodes|fatigue cracking
Akhilash_et_al__-_2021_-_A_journey_through_layered_cathode_materials_for_li_reactions.json,A journey through layered cathode materials for lithium ion cells – From lithium cobalt oxide to lithium-rich transition metal oxides,10.1016/j.jallcom.2021.159239,Journal of Alloys and Compounds,2021,review,review,True,98.51,Excellent,6,2,1,2,6,18,Electrochemical performance (from Table 1)|Electrochemical performance (from Table 1)|Electrochemical performance (from Table 1)|Electrochemical performance (from Table 1)|Electrochemical performance (from Table 1)|Electrochemical performance (from Table 1),lithium-ion batteries|layered cathode materials
Ali_Nowroozi_et_al__-_2022_-_Towards_Recycling_of_LLZO_Solid_Electrolyte_Exempl_reactions.json,Towards Recycling of LLZO Solid Electrolyte Exemplarily Performed on LFP/LLZO/LTO Cells,10.1002/open.202100274,ChemistryOpen,2022,research article,experimental_synthesis,True,98.95,Excellent,3,10,6,15,2,3,XRD|EDX/EDS,recycling|solid-state electrolyte|hydrometallurgy
An_et_al__-_2016_-_The_state_of_understanding_of_the_lithium-ion-batt_reactions.json,The state of understanding of the lithium-ion-battery graphite solid electrolyte interphase (SEI) and its relationship to formation cycling,http://dx.doi.org/10.1016/j.carbon.2016.04.008,Carbon,2016,review,review,False,100.0,Excellent,0,10,0,0,4,0,SEM|TEM|EIS|XPS,lithium-ion battery|SEI|graphite anode
Anantharamulu_et_al__-_2011_-_A_wide-ranging_review_on_Nasicon_type_materials_reactions.json,A wide-ranging review on Nasicon type materials,10.1007/s10853-011-5302-5,Journal of Materials Science,2011,review,review,True,98.46,Excellent,3,7,3,3,0,0,,NASICON|solid electrolyte|ionic conductor
Andriyevsky_et_al__-_2017_-_Ab_initio_molecular_dynamics_study_of_lithium_diff_reactions.json,Ab initio molecular dynamics study of lithium diffusion in tetragonal Li7La3Zr2O12,10.1016/j.matchemphys.2016.10.025,Materials Chemistry and Physics,2017,computational study,computational,False,90.48,Excellent,1,4,0,0,3,9,DFT calculation|Nudged Elastic Band (NEB)|Spectral Density of States (SDOS) analysis,ab initio molecular dynamics|lithium diffusion|solid electrolyte|LLZO
Angew_Chem_Int_Ed_-_2008_-_Deiseroth_-_Li6PS5X__A_Class_of_Crystalline_Li_Rich_Solids_With_an_Unusually_High_Li__Mobility_reactions.json,Li6PS5X: A Class of Crystalline Li-Rich Solids With an Unusually High Li+ Mobility,10.1002/anie.200703900,Angewandte Chemie International Edition,2008,inorganic_synthesis,experimental_synthesis,True,97.3,Excellent,3,6,4,5,3,7,XRD|EIS|NMR,solid electrolyte|argyrodite|lithium ion conductor
Angew_Chem_Int_Ed_-_2019_-_Wang_-_Lithium_Chlorides_and_Bromides_as_Promising_Solid_State_Chemistries_for_Fast_Ion-suppl_reactions.json,Lithium Chlorides and Bromides as Promising Solid-State Chemistries for Fast Ion Conductors with Good Electrochemical Stability (Supporting Information),,,,computational study,computational,False,100.0,Excellent,2,2,0,0,2,20,DFT calculation|DFT calculation,solid electrolyte|DFT|AIMD|lithium-ion conductors
Angew_Chem_Int_Ed_-_2019_-_Wang_-_Lithium_Chlorides_and_Bromides_as_Promising_Solid_State_Chemistries_for_Fast_Ion_reactions.json,Lithium Chlorides and Bromides as Promising Solid-State Chemistries for Fast Ion Conductors with Good Electrochemical Stability,10.1002/anie.201901938,Angewandte Chemie International Edition,2019,computational study,computational,False,100.0,Excellent,6,6,0,0,2,14,DFT calculation|DFT calculation,solid electrolytes|lithium-ion batteries|halides|AIMD|DFT
Aparicio_and_De_Leeuw_-_2020_-_Electronic_structure__ion_diffusion_and_cation_dop_reactions.json,"Electronic structure, ion diffusion and cation doping in the Na4VO(PO4)2 compound as a cathode material for Na-ion batteries",10.1039/c9cp05559b,Physical Chemistry Chemical Physics,2020,computational study,computational,False,98.18,Excellent,2,7,0,0,2,3,DFT calculation|DFT calculation,sodium-ion batteries|vanadium phosphate|DFT|molecular dynamics
Archer_and_Armstrong_-_1981_-_Electrochemical_properties_of_LiBr_H2O_reactions.json,"ELECTROCHEMICAL PROPERTIES OF LiBr.H,O",,,1981,research-article,experimental_synthesis,True,80.7,Good,1,4,3,3,4,6,EIS|EIS|Ionic conductivity measurement|Decomposition potential measurement,solid electrolyte|lithium ion conduction|electrochemistry
Arunkumar_et_al__-_2016_-_Improved_electrochemical_reversibility_of_over-lit_reactions.json,Improved electrochemical reversibility of over-lithiated layered Li2RuO3 cathodes: Understanding aliovalent Co3+ substitution with excess lithium,10.1016/j.jpowsour.2016.05.013,Journal of Power Sources,2016,research-article,experimental_synthesis,True,84.88,Good,4,9,3,6,3,4,XRD|SEM|EIS,Li-ion battery|cathode material|over-lithiated layered oxide
Asenbauer_et_al__-_2020_-_The_success_story_of_graphite_as_a_lithium-ion_ano_reactions.json,"The success story of graphite as a lithium-ion anode material – fundamentals, remaining challenges, and recent developments including silicon (oxide) composites",10.1039/d0se00175a,Sustainable Energy & Fuels,2020,review,review,True,96.23,Excellent,2,6,2,4,0,0,,graphite|lithium-ion battery|anode|silicon composites
Assegie_et_al__-_2018_-_Polyethylene_oxide_film_coating_enhances_lithium_c_reactions.json,Polyethylene oxide film coating enhances lithium cycling efficiency of an anode-free lithium-metal battery,10.1039/c7nr09058g,Nanoscale,2018,research-article,experimental_synthesis,True,76.27,Good,1,18,5,7,3,4,SEM|EIS|Cyclic voltammetry,PEO coating|anode-free lithium metal battery|electrochemistry|dendrite suppression
Ayadi_et_al__-_2022_-_State_estimation_methodologies_for_lithium-sulfur__reactions.json,State estimation methodologies for lithium-sulfur battery management systems,10.1016/B978-0-12-819676-2.00006-2,Lithium-Sulfur Batteries (Book Chapter),2022,review,review,False,100.0,Excellent,0,0,0,0,4,9,Pulse discharge test|NEDC drive-cycle discharge test|UDDS drive-cycle test|MLTB drive-cycle test,lithium-sulfur batteries|battery management systems|state of charge estimation
Azhari_et_al__-_2020_-_Recycling_for_All_Solid-State_Lithium-Ion_Batterie_reactions.json,Recycling for All Solid-State Lithium-Ion Batteries,10.1016/j.matt.2020.10.027,Matter,2020,perspective,perspective,True,98.13,Excellent,3,11,8,8,2,0,ICP|pH measurement,battery recycling|solid-state electrolyte|hydrometallurgy|direct recycling
B_ckenfeld_and_Balducci_-_2014_-_Determination_of_sodium_ion_diffusion_coefficients_reactions.json,Determination of sodium ion diffusion coefficients in sodium vanadium phosphate,10.1007/s10008-013-2342-6,Journal of Solid State Electrochemistry,2014,research article,experimental_synthesis,True,79.53,Good,1,13,10,12,6,12,XRD|SEM|CHN combustion analysis|BET|Galvanostatic charge–discharge|C-rate performance test,sodium ion battery|NaSICON|diffusion coefficient|sol–gel synthesis|Na3V2(PO4)3
Bai_et_al__-_2018_-_Interactions_between_Lithium_Growths_and_Nanoporou_reactions.json,Interactions between Lithium Growths and Nanoporous Ceramic Separators,10.1016/j.joule.2018.08.018,Joule,2018,electrochemical cell assembly and testing,experimental_synthesis,True,96.7,Excellent,2,11,5,13,2,2,SEM|Optical Microscopy,lithium metal anode|separator|AAO membrane|critical current density
Baktash_et_al__-_2020_-_Diffusion_of_lithium_ions_in_Lithium-argyrodite_so_reactions.json,Diffusion of lithium ions in Lithium-argyrodite solid-state electrolytes,10.1038/s41524-020-00432-1,npj Computational Materials,2020,computational study,computational,False,100.0,Excellent,3,0,0,0,3,13,DFT calculation|DFT calculation|NEMD with Arrhenius extrapolation,solid-state electrolyte|ab initio molecular dynamics|ionic conductivity|Li6PS5Cl|Li5PS4Cl2
Banerjee_et_al__-_2014_-_Possible_application_of_2D-boron_sheets_as_anode_m_reactions.json,Possible application of 2D-boron sheets as anode material in lithium ion battery: A DFT and AIMD study,10.1039/c3ta14041e,Journal of Materials Chemistry A,2014,computational study,computational,False,92.86,Excellent,1,4,0,0,3,7,DFT calculation|DIMER/NEB transition-state search|DFT calculation,DFT|AIMD|lithium-ion battery|boron sheet|anode material
Barbosa_et_al__-_2021_-_Metal_organic_frameworks_and_zeolite_materials_as__reactions.json,Metal–organic frameworks and zeolite materials as active fillers for lithium-ion battery solid-polymer electrolytes,10.1039/d1ma00244a,Materials Advances,2021,review,review,True,100.0,Excellent,1,3,1,1,0,0,,solid polymer electrolyte|MOF|zeolite|lithium-ion battery
Barroso-Luque_et_al__-_2020_-_An_Analysis_of_Solid-State_Electrodeposition-Induc_reactions.json,An Analysis of Solid-State Electrodeposition-Induced Metal Plastic Flow and Predictions of Stress States in Solid Ionic Conductor Defects,10.1149/1945-7111/ab6c5b,Journal of The Electrochemical Society,2020,research-article,other,False,100.0,Excellent,0,0,0,0,0,0,,solid-state batteries|electrodeposition|mechanical modeling
Barzacchi_et_al__-_2022_-_Enabling_early_detection_of_lithium-ion_battery_de_reactions.json,Enabling early detection of lithium-ion battery degradation by linking electrochemical properties to equivalent circuit model parameters,10.1016/j.est.2022.104213,Journal of Energy Storage,2022,research article,research_article,False,97.5,Excellent,0,6,0,0,1,1,Pulsed discharge test,lithium-ion batteries|equivalent circuit model|P2D model|battery degradation
Bedrov_et_al__-_2019_-_Molecular_Dynamics_Simulations_of_Ionic_Liquids_an_reactions.json,Molecular Dynamics Simulations of Ionic Liquids and Electrolytes Using Polarizable Force Fields,10.1021/acs.chemrev.8b00763,Chemical Reviews,2019,review,review,False,100.0,Excellent,0,0,0,0,0,0,,molecular dynamics|ionic liquids|electrolytes|polarizable force field
Bhardwaj_et_al__-_2022_-_High-Performance_Li-Metal-Free_Sulfur_Battery_Empl_reactions.json,High-Performance Li-Metal-Free Sulfur Battery Employing a Lithiated Anatase TiO2 Anode and a Freestanding Li2S−Carbon Aerogel Cathode,10.1021/acssuschemeng.1c06581,ACS Sustainable Chemistry & Engineering,2022,research article,experimental_synthesis,True,87.8,Good,3,14,6,15,6,10,XRD|TEM|BET|Raman spectroscopy|UV–vis spectroscopy|EIS,Li–S battery|Li-metal-free|TiO2 anode|Li2S cathode|carbon aerogel
Bittihn_-_1983_-_Self_discharge_of_Li3N_based_all_solid_state_cells_reactions.json,SELF DISCHARGE OF Li3N BASED ALL SOLID STATE CELLS,,Solid State Ionics,1983,research article,experimental_synthesis,True,98.77,Excellent,2,7,5,7,4,8,EIS|Hebb-Wagner DC polarisation|Open-circuit voltage monitoring|Atomic Absorption Spectroscopy (AAS),solid-state battery|Li3N|self discharge
Bollinger_et_al__-_2003_-_Atomic_and_electronic_structure_of_MoS_2_nanoparti_reactions.json,Atomic and electronic structure of MoS2 nanoparticles,10.1103/PhysRevB.67.085410,Physical Review B,2003,theoretical study,computational,True,97.22,Excellent,1,3,1,1,1,1,STM,DFT|STM|MoS2|Edge states
Booth_et_al__-_2021_-_Perspectives_for_next_generation_lithium-ion_batte_reactions.json,Perspectives for next generation lithium-ion battery cathode materials,10.1063/5.0051092,APL Materials,2021,review,review,False,100.0,Excellent,0,0,0,0,0,0,,lithium-ion batteries|cathode materials|perspective
Boulineau_et_al__-_2012_-_Mechanochemical_synthesis_of_Li-argyrodite_Li6PS5X_reactions.json,"Mechanochemical synthesis of Li-argyrodite Li6PS5X (X=Cl, Br, I) as sulfur-based solid electrolytes for all solid state batteries application",10.1016/j.ssi.2012.06.008,Solid State Ionics,2012,research article,experimental_synthesis,True,75.53,Good,3,9,3,3,7,22,XRD|TEM|EIS|Hebb–Wagner polarization|DSC|Cyclic voltammetry|Galvanostatic cycling,solid electrolyte|ball milling|Li-argyrodite|all solid state battery
Br_esch_et_al__-_1975_-_Frequency-dependent_conductivity_and_dielectric_fu_reactions.json,Frequency-Dependent Conductivity and Dielectric Function of Superionic Conductors,,physica status solidi (a),1976,research article,experimental_synthesis,True,97.73,Excellent,1,4,2,4,1,6,Far-infrared reflectivity spectroscopy,superionic conductors|AgI|β-alumina|far infrared spectroscopy
Brant_et_al__-_2015_-_Fast_Lithium_Ion_Conduction_in_Li_2_SnS_reactions.json,"Fast Lithium Ion Conduction in Li2SnS3: Synthesis, Physicochemical Characterization, and Electronic Structure",10.1021/cm5037524,Chemistry of Materials,2015,research article,experimental_synthesis,True,98.04,Excellent,1,4,3,6,2,9,XRD|EIS,solid-state electrolyte|lithium ion conductor|chalcogenide
Braun_et_al__-_2015_-_Thermodynamically_Consistent_Model_for_Space-Charg_reactions.json,Thermodynamically Consistent Model for Space-Charge-Layer Formation in a Solid Electrolyte,10.1021/acs.jpcc.5b02679,Journal of Physical Chemistry C,2015,research-article,other,False,96.55,Excellent,0,4,0,0,0,0,,solid electrolyte|space-charge layer|theoretical modeling
Brotchie_-_2016_-_Li-Metal_Batteries_Enter_the_anode_matrix_reactions.json,Composite lithium metal anode by melt infusion of lithium into a 3D conducting scaffold with lithiophilic coating,10.1073/pnas.1518188113,Proceedings of the National Academy of Sciences USA,2016,materials synthesis,experimental_synthesis,True,80.49,Good,1,3,3,4,0,0,,lithium metal batteries|composite anode|melt infusion|carbon fibre scaffold
Bruce_et_al__-_2012_-_Li_O2_and_Li_S_batteries_with_high_energy_storage_reactions.json,Li–O2 and Li–S batteries with high energy storage,10.1038/NMAT3191,Nature Materials,2012,review article,review,False,92.73,Excellent,3,6,0,0,2,3,Galvanostatic discharge test|Solubility-based capacity estimate,lithium–oxygen battery|lithium–sulfur battery|energy storage
Buannic_et_al__-_2017_-_Dual_Substitution_Strategy_to_Enhance_Li__s_reactions.json,Dual Substitution Strategy to Enhance Li+ Ionic Conductivity in Li7La3Zr2O12 Solid Electrolyte,10.1021/acs.chemmater.6b05369,Chemistry of Materials,2017,materials_synthesis,experimental_synthesis,True,83.19,Good,3,12,7,9,6,12,XRD|ICP|SEM|TEM|NMR|EIS,solid_state_electrolyte|garnet|lithium_ion_conductor
Buschmann_et_al__-_2012_-_Lithium_metal_electrode_kinetics_and_ionic_conduct_reactions.json,Lithium metal electrode kinetics and ionic conductivity of the solid lithium ion conductors “Li7La3Zr2O12” and Li7−xLa3Zr2−xTaxO12 with garnet-type structure,10.1016/j.jpowsour.2012.01.094,Journal of Power Sources,2012,research article,experimental_synthesis,True,98.84,Excellent,5,6,5,8,3,8,XRD|EIS|Cyclic voltammetry,solid electrolyte|garnet|lithium ion conductivity
Butler_et_al__-_2019_-_Designing_interfaces_in_energy_materials_applicati_reactions.json,Designing interfaces in energy materials applications with first-principles calculations,https://doi.org/10.1038/s41524-019-0160-9,npj Computational Materials,2019,review article,review,False,100.0,Excellent,0,0,0,0,0,0,,interfaces|energy materials|first-principles calculations
Byeon_et_al__-_2017_-_Two-Dimensional_Titanium_Carbide_MXene_As_a_Cathod_reactions.json,Two-Dimensional Titanium Carbide MXene As a Cathode Material for Hybrid Magnesium/Lithium-Ion Batteries,10.1021/acsami.6b04198,ACS Applied Materials & Interfaces,2017,research article,experimental_synthesis,True,90.91,Excellent,3,9,3,3,5,9,SEM|TEM|SEM|XRD|Cyclic voltammetry,MXene|hybrid Mg/Li battery|Ti3C2Tx|energy storage
Calegari_Andrade_et_al__-_2018_-_Structure__Polarization__and_Sum_Frequency_Generat_reactions.json,"Structure, Polarization, and Sum Frequency Generation Spectrum of Interfacial Water on Anatase TiO 2",10.1021/acs.jpclett.8b03103,The Journal of Physical Chemistry Letters,2018,computational study,computational,False,92.59,Excellent,0,2,0,0,2,4,DFT calculation|Sum Frequency Generation (SFG) spectral simulation,AIMD|SCAN functional|TiO2|interfacial water|SFG spectroscopy
Calvo_-_2019_-_Electrochemical_methods_for_sustainable_recovery_o_reactions.json,Electrochemical methods for sustainable recovery of lithium from natural brines and battery recycling,10.1016/j.coelec.2019.04.010,Current Opinion in Electrochemistry,2019,review article,review,True,90.54,Excellent,1,6,6,7,3,3,XRD|XPS|EIS,lithium extraction|electrochemical recovery|natural brine|battery recycling
Canongia_Lopes_and_P_dua_-_2004_-_Molecular_Force_Field_for_Ionic_Liquids_Composed_o_reactions.json,Molecular Force Field for Ionic Liquids Composed of Triflate or Bistriflylimide Anions,10.1021/jp0476545,The Journal of Physical Chemistry B,2004,computational chemistry / force-field development,computational,False,94.74,Excellent,3,5,0,0,4,8,Quantum chemical geometry optimisation|Single-point energy (torsion profile)|DFT calculation|DFT calculation,force field|ionic liquids|triflate|bistriflylimide
Catti_and_Montero-Campillo_-_2011_-_Lithium_diffusion_pathways_and_vacancy_formation_i_reactions.json,Lithium diffusion pathways and vacancy formation in the Pmmn-Li1−xFeO2 electrode material,10.1039/c1cp20551j,Physical Chemistry Chemical Physics,2011,computational study,computational,False,98.11,Excellent,2,5,0,0,4,10,DFT calculation|Activation energy calculations|Density of States (DOS) analysis|Mulliken population analysis,DFT|lithium ion diffusion|electrode material|LiFeO2
Ceder_et_al__-_1998_-_Identification_of_cathode_materials_for_lithium_ba_reactions.json,Identification of cathode materials for lithium batteries guided by first-principles calculations,,Nature,1998,research article,experimental_synthesis,True,98.02,Excellent,1,11,7,11,4,6,TEM|XRD|Open-circuit voltage measurement|Galvanostatic cycling,"lithium battery|cathode material|Li(Co,Al)O2|first-principles calculation|electrochemistry"
Cha_et_al__-_2021_-_A_mechanistic_review_of_lithiophilic_materials_re_reactions.json,A mechanistic review of lithiophilic materials: resolving lithium dendrites and advancing lithium-metal-based batteries,10.1039/d1qm00579k,Materials Chemistry Frontiers,2021,review,review,False,100.0,Excellent,0,0,0,0,0,0,,lithiophilic materials|lithium metal batteries|dendrite suppression|solid-state electrolytes
Chakraborty_et_al__-_2018_-_Current_computational_trends_in_polyanionic_cathod_reactions.json,Current computational trends in polyanionic cathode materials for Li and Na batteries,10.1088/1361-648X/aac62d,Journal of Physics: Condensed Matter,2018,review,review,False,100.0,Excellent,0,0,0,0,0,0,,polyanionic cathodes|DFT|Li-ion batteries|Na-ion batteries
Chakraborty_et_al__-_2020_-_Layered_Cathode_Materials_for_Lithium-Ion_Batterie_reactions.json,Layered Cathode Materials for Lithium-Ion Batteries: Review of Computational Studies on LiNi1−x−yCoxMnyO2 and LiNi1−x−yCoxAlyO2,10.1021/acs.chemmater.9b04066,Chemistry of Materials,2020,review,review,False,97.22,Excellent,5,0,0,0,1,2,Galvanostatic cycling,lithium-ion batteries|layered cathodes|NCM|NCA|computational studies
Chang_et_al__-_2014_-_Multilayered_Si_NanoparticleReduced_Graphene_Oxid_reactions.json,Multilayered Si Nanoparticle/Reduced Graphene Oxide Hybrid as a High-Performance Lithium-Ion Battery Anode,10.1002/adma.201302757,Advanced Materials,2014,research article,experimental_synthesis,True,98.7,Excellent,2,7,4,6,4,8,SEM|Raman spectroscopy|EIS|Galvanostatic cycling,lithium-ion battery|anode|silicon nanoparticles|reduced graphene oxide|dip-coating
Chang_et_al__-_2014_-_Rechargeable_LiBr_battery_a_promising_platform__reactions.json,Rechargeable Li//Br battery: a promising platform for post lithium ion batteries,10.1039/c4ta04419c,Journal of Materials Chemistry A,2014,battery research paper,experimental_synthesis,True,75.0,Good,3,11,4,4,5,12,Cyclic voltammetry|Electrochemical Impedance / Polarization|Galvanostatic charge–discharge|Cycle life test|Ionic conductivity measurement,Li//Br battery|aqueous lithium battery|gel polymer electrolyte|LISICON
