tier,filename,title,journal,year,score,verdict,battery_subfield,num_synthesis_steps,num_chemicals,num_operations,num_characterization,num_char_results,complexity_score,doi
moderate,Yi_et_al__-_2015_-_Facile_in_Situ_Preparation_of_Graphitic-C_3_reactions.json,Facile in Situ Preparation of Graphitic-C3N4@carbon Paper As an Efficient Metal-,ACS Applied Materials & Interfaces,2015,97.8,Excellent,,5,9,5,5,5,42,10.1021/acsami.5b01727
moderate,Riaz_et_al__-_2014_-_Carbon-__Binder-__and_Precious_Metal-Free_Cathodes_reactions.json,"Carbon-, Binder-, and Precious Metal-Free Cathodes for Non-Aqueous Lithium−Oxyge",ACS Applied Materials & Interfaces,2014,97.8,Excellent,,3,10,11,5,7,48,10.1021/am504463b
moderate,Cheng_et_al__-_2020_-_Unveiling_the_Stable_Nature_of_the_Solid_Electroly_reactions.json,Unveiling the Stable Nature of the Solid Electrolyte Interphase between Lithium ,Joule,2020,97.8,Excellent,,5,8,5,6,7,42,10.1016/j.joule.2020.08.013
moderate,Han_et_al__-_2015_-_A_Battery_Made_from_a_Single_Material_reactions.json,A Battery Made from a Single Material,Advanced Materials,2015,94.7,Excellent,,4,10,6,6,12,43,10.1002/adma.201500180
moderate,Maekawa_et_al__-_2008_-_Enhanced_lithium_ion_conduction_and_the_size_effec_reactions.json,Enhanced lithium ion conduction and the size effect on interfacial phase in Li2Z,Solid State Ionics,2008,94.0,Excellent,,4,6,12,5,11,50,10.1016/j.ssi.2007.10.018
moderate,Byeon_et_al__-_2017_-_Two-Dimensional_Titanium_Carbide_MXene_As_a_Cathod_reactions.json,Two-Dimensional Titanium Carbide MXene As a Cathode Material for Hybrid Magnesiu,ACS Applied Materials & Interfaces,2017,90.9,Excellent,,3,9,3,5,9,32,10.1021/acsami.6b04198
moderate,Kanno_-_2000_-_Synthesis_of_a_new_lithium_ionic_conductor__thio-L_reactions.json,"Synthesis of a new lithium ionic conductor, thio-LISICON – lithium germanium sul",Solid State Ionics,2000,86.9,Good,,5,4,5,5,5,36,
moderate,Xu_et_al__-_2019_-_Li_metal-free_rechargeable_all-solid-state_Li2SSi_reactions.json,Li metal-free rechargeable all-solid-state Li2S/Si battery based on Li7P3S11 ele,Journal of Solid State Electrochemistry,2019,79.8,Good,,4,8,13,7,10,56,10.1007/s10008-019-04409-z
moderate,Qian_et_al__-_2018_-_Electrochemical_surface_passivation_of_LiCoO2_part_reactions.json,Electrochemical surface passivation of LiCoO2 particles at ultrahigh voltage and,Nature Communications,2018,79.5,Good,,5,6,7,4,5,41,10.1038/s41467-018-07296-6
moderate,Oyakhire_et_al__-_2022_-_Electrical_resistance_of_the_current_collector_con_reactions.json,Electrical resistance of the current collector controls lithium morphology,Nature Communications,2022,79.1,Good,,5,9,12,2,7,51,10.1038/s41467-022-31507-w
complex,Rana_et_al__-_2020_-_Oriented_nanoporous_MOFs_to_mitigate_polysulfides__reactions.json,Oriented nanoporous MOFs to mitigate polysulfides migration in lithium-sulfur ba,Nano Energy,2020,99.2,Excellent,,6,14,12,6,8,65,10.1016/j.nanoen.2020.105009
complex,Chen_et_al__-_Staging_Phase_Transitions_in_LixCoO2_reactions.json,Staging Phase Transitions in Li xCoO2,Journal of The Electrochemical Society,2002,99.1,Excellent,,6,14,11,3,7,58,10.1149/1.1519850
complex,Cui_et_al__-_2021_-_Zinc-Doped_High-Nickel__Low-Cobalt_Layered_Oxide_C_reactions.json,"Zinc-Doped High-Nickel, Low-Cobalt Layered Oxide Cathodes for High-Energy-Densit",ACS Applied Materials & Interfaces,2021,98.4,Excellent,,5,18,7,5,7,54,10.1021/acsami.1c01824
complex,Kim_et_al__-_2017_-_Reduced_Graphene_OxideLiI_Composite_Lithium_Ion_B_reactions.json,Reduced Graphene Oxide/LiI Composite Lithium Ion Battery Cathodes,Nano Letters,2017,94.9,Excellent,,6,12,13,8,20,68,10.1021/acs.nanolett.7b03290
complex,Chu_et_al__-_2020_-_A_multi-functional_binder_for_high_loading_sulfur__reactions.json,A multi-functional binder for high loading sulfur cathode,Journal of Energy Chemistry,2020,93.5,Excellent,,5,13,5,5,9,46,10.1016/j.jechem.2019.10.020
complex,Lin_et_al__-_2016_-_Layered_reduced_graphene_oxide_with_nanoscale_inte_reactions.json,Layered reduced graphene oxide with nanoscale interlayer gaps as a stable host f,Nature Nanotechnology,2016,90.1,Excellent,,6,2,8,6,7,45,10.1038/NNANO.2016.32
complex,Li_et_al__-_2018_-_Co-modification_by_LiAlO2-coating_and_Al-doping_fo_reactions.json,Co-modification by LiAlO2-coating and Al-doping for LiNi0.5Co0.2Mn0.3O2 as a hig,Journal of Alloys and Compounds,2018,82.0,Good,,7,7,8,4,8,50,10.1016/j.jallcom.2018.07.223
complex,Wang_et_al__-_2014_-_Enhancing_lithium_sulphur_battery_performance_by_s_reactions.json,Enhancing lithium–sulphur battery performance by strongly binding the discharge ,Nature Communications,2014,81.2,Good,,6,5,8,4,6,45,10.1038/ncomms6002
complex,Kim_et_al__-_2017_-_Electrochemical_lithium_intercalation_behavior_of__reactions.json,Electrochemical lithium intercalation behavior of pristine and milled hexagonal ,Journal of Electroanalytical Chemistry,2017,80.4,Good,,4,12,6,6,19,45,10.1016/j.jelechem.2017.06.017
complex,Liu_et_al__-_2021_-_Understanding_Co_roles_towards_developing_Co-free__reactions.json,Understanding Co roles towards developing Co-free Ni-rich cathodes for rechargea,Nature Energy,2021,78.9,Good,,5,11,12,5,0,58,10.1038/s41560-021-00776-y
