filename,score_percent,verdict,raw_score
Chang_et_al__-_2014_-_Multilayered_Si_NanoparticleReduced_Graphene_Oxid_reactions.json,98.7,Excellent,76/77
Johansen_et_al__-_2015_-_Aluminum_Migration_and_Intrinsic_Defect_Interactio_reactions.json,98.7,Excellent,76/77
Kim_et_al__-_2015_-_A_review_of_lithium_and_non-lithium_based_solid_st_reactions.json,98.7,Excellent,76/77
Harper_et_al__-_2019_-_Recycling_lithium-ion_batteries_from_electric_vehi_reactions.json,98.68,Excellent,75/76
Hausbrand_et_al__-_2015_-_Fundamental_degradation_mechanisms_of_layered_oxid_reactions.json,98.67,Excellent,74/75
Haslam_et_al__-_2022_-_The_effect_of_aspect_ratio_on_the_mechanical_behav_reactions.json,98.65,Excellent,73/74
Hoenle_and_Simon_-_1986_-_Darstellung_und_Kristallstrukturen_von_Li_Ga_Br4_u_reactions.json,98.65,Excellent,73/74
Faraji_Niri_et_al__-_2022_-_Systematic_analysis_of_the_impact_of_slurry_coatin_reactions.json,98.63,Excellent,72/73
Galvez-Aranda_and_Seminario_-_2020_-_Solid_electrolyte_interphase_formation_between_the_reactions.json,98.63,Excellent,72/73
D_rfler_et_al__-_2021_-_Recent_Progress_and_Emerging_Application_Areas_for_reactions.json,98.59,Excellent,70/71
Kuhn_et_al__-_2014_-_A_new_ultrafast_superionic_Li-conductor_ion_dynam_reactions.json,98.59,Excellent,70/71
Li_et_al__-_2022_-_NaSICON_A_promising_solid_electrolyte_for_solid_s_reactions.json,98.55,Excellent,68/69
Lamsayah_et_al__-_2016_-_High_liquid_liquid_extraction_selectivity_of_Fe_II_reactions.json,98.53,Excellent,67/68
Akhilash_et_al__-_2021_-_A_journey_through_layered_cathode_materials_for_li_reactions.json,98.51,Excellent,66/67
Adeli_et_al__-_2021_-_Influence_of_Aliovalent_Cation_Substitution_and_Me_reactions.json,98.48,Excellent,65/66
Kanno_et_al__-_PHASE_TRANSITION_OF_THE_SOLID_LITHIUM_ION_CONDUCTO_reactions.json,98.48,Excellent,65/66
Anantharamulu_et_al__-_2011_-_A_wide-ranging_review_on_Nasicon_type_materials_reactions.json,98.46,Excellent,64/65
He_et_al__-_2017_-_Origin_of_fast_ion_diffusion_in_super-ionic_conduc_reactions.json,98.46,Excellent,64/65
Liu_et_al__-_2019_-_Recycling_of_spent_lithium-ion_batteries_in_view_o_reactions.json,98.46,Excellent,64/65
Cui_et_al__-_2021_-_Zinc-Doped_High-Nickel__Low-Cobalt_Layered_Oxide_C_reactions.json,98.44,Excellent,126/128
Kaup_et_al__-_2018_-_Correlation_of_Structure_and_Fast_Ion_Conductivity_reactions.json,98.44,Excellent,63/64
Elia_et_al__-_2021_-_An_overview_and_prospective_on_Al_and_Al-ion_batte_reactions.json,98.41,Excellent,62/63
Han_et_al__-_2015_-_A_comprehensive_review_of_sodium_layered_oxides_p_reactions.json,98.41,Excellent,62/63
Hao_et_al__-_2020_-_An_In_Depth_Study_of_Zn_Metal_Surface_Chemistry_fo_reactions.json,98.41,Excellent,62/63
Ahmad_et_al__-_2018_-_Machine_Learning_Enabled_Computational_Screening_o_reactions.json,98.36,Excellent,60/61
Cheng_et_al__-_2016_-_A_Review_of_Solid_Electrolyte_Interphases_on_Lithi_reactions.json,98.33,Excellent,59/60
1-s2_0-002245968890312X-main_reactions.json,98.31,Excellent,58/59
Kim_et_al__-_2017_-_Progress_in_the_Development_of_Sodium-Ion_Solid_El_reactions.json,98.31,Excellent,58/59
Kuhn_et_al__-_2013_-_Tetragonal_Li10GeP2S12_and_Li7GePS8___exploring_th_reactions.json,98.31,Excellent,58/59
Hu_et_al__-_2015_-_Recycling_Application_of_Li-MnO_2_Batte_reactions.json,98.28,Excellent,114/116
Liu_et_al__-_2020_-_Reversible_Crosslinked_Polymer_Binder_for_Recyclab_reactions.json,98.26,Excellent,113/115
Advanced_Materials_-_2016_-_Liang_-_Interwoven_MXene_Nanosheet_Carbon_Nanotube_Composites_as_Li_S_Cathode_Hosts_reactions.json,98.25,Excellent,112/114
Aparicio_and_De_Leeuw_-_2020_-_Electronic_structure__ion_diffusion_and_cation_dop_reactions.json,98.18,Excellent,54/55
Chen_et_al__-_2022_-_Review_on_Defects_and_Modification_Methods_of_LiFe_reactions.json,98.18,Excellent,108/110
Advanced_Energy_Materials_-_2022_-_Kim_-_Stepwise_Dopant_Selection_Process_for_High_Nickel_Layered_Oxide_Cathodes_reactions.json,98.17,Excellent,107/109
Hoang_and_Johannes_-_2014_-_Defect_chemistry_in_layered_transition-metal_oxide_reactions.json,98.15,Excellent,53/54
Kuhn_et_al__-_2013_-_Single-crystal_X-ray_structure_analysis_of_the_sup_reactions.json,98.15,Excellent,53/54
Azhari_et_al__-_2020_-_Recycling_for_All_Solid-State_Lithium-Ion_Batterie_reactions.json,98.13,Excellent,105/107
Catti_and_Montero-Campillo_-_2011_-_Lithium_diffusion_pathways_and_vacancy_formation_i_reactions.json,98.11,Excellent,52/53
Gao_et_al__-_2018_-_Na_3_MnZr_PO_4___3sub_reactions.json,98.11,Excellent,52/53
Gu_et_al__-_2012_-_Conflicting_Roles_of_Nickel_in_Controlling_Cathode_reactions.json,98.11,Excellent,52/53
_PRL__First-Principles_Prediction_of_Potentials_and_Space-Charge_Layers_in_All-Solid-State_Batteries-suppl_reactions.json,98.08,Excellent,51/52
Jonderian_and_McCalla_-_2021_-_The_role_of_metal_substitutions_in_the_development_reactions.json,98.08,Excellent,51/52
Brant_et_al__-_2015_-_Fast_Lithium_Ion_Conduction_in_Li_2_SnS_reactions.json,98.04,Excellent,50/51
Ceder_et_al__-_1998_-_Identification_of_cathode_materials_for_lithium_ba_reactions.json,98.02,Excellent,99/101
A_chemical_map_of_NaSICON_electrode_materials_for_sodium-ion_batteries-suppl_reactions.json,98.0,Excellent,49/50
Li_et_al__-_2020_-_Progress_and_perspectives_on_halide_lithium_conduc_reactions.json,98.0,Excellent,49/50
Dickey_-_2021_-_Liquid_metals_at_room_temperature_reactions.json,97.96,Excellent,96/98
Duquesnoy_et_al__-_2022_-_Functional_data-driven_framework_for_fast_forecast_reactions.json,97.92,Excellent,47/48
Liu_et_al__-_2019_-_Ti_2_PTe_2_monolayer_a_prom_reactions.json,97.92,Excellent,47/48
Cheng_et_al__-_2020_-_Unveiling_the_Stable_Nature_of_the_Solid_Electroly_reactions.json,97.8,Excellent,89/91
Islam_et_al__-_2017_-_DFT_Study_on_the_Li_Mobility_in_Li-Ion-Based_Solid_reactions.json,97.8,Excellent,89/91
Huang_et_al__-_2020_-_Enhanced_Performance_of_Li_6_4_La__reactions.json,97.78,Excellent,88/90
Br_esch_et_al__-_1975_-_Frequency-dependent_conductivity_and_dielectric_fu_reactions.json,97.73,Excellent,43/44
Li_and_Monroe_-_2019_-_Dendrite_nucleation_in_lithium-conductive_ceramics_reactions.json,97.73,Excellent,43/44
Dietrich_et_al__-_2016_-_Local_Structural_Investigations__Defect_Formation__reactions.json,97.7,Excellent,85/87
Adams_and_Rao_-_2011_-_High_power_lithium_ion_battery_materials_by_comput_reactions.json,97.67,Excellent,42/43
Fingerle_et_al__-_2017_-_Reaction_and_Space_Charge_Layer_Formation_at_the_L_reactions.json,97.67,Excellent,84/86
Fu_et_al__-_2013_-_Evaluation_and_Characterization_of_Reduced_Graphen_reactions.json,97.64,Excellent,124/127
Jo_et_al__-_2023_-_Feasible_approaches_for_anode-free_lithium-metal_b_reactions.json,97.59,Excellent,81/83
Ecker_et_al__-_2017_-_Influence_of_operational_condition_on_lithium_plat_reactions.json,97.53,Excellent,79/81
Barzacchi_et_al__-_2022_-_Enabling_early_detection_of_lithium-ion_battery_de_reactions.json,97.5,Excellent,39/40
Haruyama_et_al__-_2014_-_Space_Charge_Layer_Effect_at_Interface_between_Oxi_reactions.json,97.5,Excellent,39/40
_vall_and_Johansson_-_2020_-_A_novel_approach_to_ligand-exchange_rates_applied__reactions.json,97.37,Excellent,37/38
Lapp_-_1983_-_Ionic_conductivity_of_pure_and_doped_Li3N_reactions.json,97.37,Excellent,74/76
Angew_Chem_Int_Ed_-_2008_-_Deiseroth_-_Li6PS5X__A_Class_of_Crystalline_Li_Rich_Solids_With_an_Unusually_High_Li__Mobility_reactions.json,97.3,Excellent,72/74
Bollinger_et_al__-_2003_-_Atomic_and_electronic_structure_of_MoS_2_nanoparti_reactions.json,97.22,Excellent,35/36
Chakraborty_et_al__-_2020_-_Layered_Cathode_Materials_for_Lithium-Ion_Batterie_reactions.json,97.22,Excellent,35/36
Jin_et_al__-_2020_-_Polyanion-type_cathode_materials_for_sodium-ion_ba_reactions.json,97.22,Excellent,35/36
Liu_et_al__-_2021_-_Impedance_Modeling_of_Solid-State_Electrolytes_In_reactions.json,97.22,Excellent,35/36
Costa_et_al__-_2021_-_Magnetically_active_lithium-ion_batteries_towards__reactions.json,97.14,Excellent,34/35
Chouchane_and_Franco_-_2022_-_Deconvoluting_the_impacts_of_the_active_material_s_reactions.json,97.01,Excellent,65/67
Kirklin_et_al__-_2014_-_High-throughput_screening_of_high-capacity_electro_reactions.json,97.01,Excellent,65/67
Doyle_and_Newman_-_1995_-_The_use_of_mathematical_modeling_in_the_design_of__reactions.json,96.97,Excellent,64/66
Hautier_et_al__-_2011_-_Phosphates_as_Lithium-Ion_Battery_Cathodes_An_Eva_reactions.json,96.97,Excellent,32/33
Huang_et_al__-_2015_-_Permselective_Graphene_Oxide_Membrane_for_Highly_S_reactions.json,96.88,Excellent,93/96
Katzenmeier_et_al__-_Properties_of_the_Space_Charge_Layers_Formed_in_Li_reactions.json,96.88,Excellent,31/32
Bai_et_al__-_2018_-_Interactions_between_Lithium_Growths_and_Nanoporou_reactions.json,96.7,Excellent,88/91
2022_-_Machine_Learning_for_Battery_Applications_reactions.json,96.55,Excellent,28/29
Braun_et_al__-_2015_-_Thermodynamically_Consistent_Model_for_Space-Charg_reactions.json,96.55,Excellent,28/29
Jiang_et_al__-_2021_-_All-dry_synthesis_of_self-supporting_thin_Li10GeP2_reactions.json,96.55,Excellent,112/116
Forouzan_et_al__-_2016_-_Experiment_and_simulation_of_the_fabrication_proce_reactions.json,96.43,Excellent,81/84
Kc_et_al__-_2014_-_Point_defects_in_garnet-type_solid_electrolyte__c-_reactions.json,96.3,Excellent,26/27
Deng_et_al__-_2018_-_Crystal_Structures__Local_Atomic_Environments__and_reactions.json,96.26,Excellent,103/107
Asenbauer_et_al__-_2020_-_The_success_story_of_graphite_as_a_lithium-ion_ano_reactions.json,96.23,Excellent,51/53
Kuhs_et_al__-_1979_-_The_argyrodites___A_new_family_of_tetrahedrally_cl_reactions.json,96.23,Excellent,51/53
Li_et_al__-_2023_-_Addressing_cation_mixing_in_layered_structured_cat_reactions.json,95.83,Excellent,46/48
Galvez-Aranda_and_Seminario_-_2021_-_Ion_Pairing__Clustering_and_Transport_in_a_LiFSI-T_reactions.json,95.74,Excellent,45/47
Hongahally_Basappa_et_al__-_2017_-_Grain_boundary_modification_to_suppress_lithium_pe_reactions.json,95.65,Excellent,132/138
Kaland_et_al__-_2020_-_Are_MXenes_suitable_as_cathode_materials_for_recha_reactions.json,95.56,Excellent,86/90
Li_et_al__-_2021_-_Intrinsic_voltage_plateau_of_a_Nb2CTx_MXene_cathod_reactions.json,95.56,Excellent,86/90
Hong_et_al__-_2017_-_Two-dimensional_lithium_diffusion_behavior_and_pro_reactions.json,95.29,Excellent,81/85
Chu_et_al__-_2016_-_Insights_into_the_Performance_Limits_of_the_Li_su_reactions.json,95.08,Excellent,58/61
H_lsen_et_al__-_2009_-_Thermodynamics_of_the_Heusler_alloy_Co_2___x_Mn_1__reactions.json,95.08,Excellent,58/61
Li_et_al__-_2012_-_High-rate_lithium_sulfur_batteries_promoted_by_red_reactions.json,94.94,Excellent,75/79
_ACSNano__Two-Dimensional_Vanadium_Carbide__MXene__as_a_High-Capacity_Cathode_Material_for_Rechargeable_Aluminum_Batteries-suppl_reactions.json,94.87,Excellent,74/78
Kim_et_al__-_2017_-_Reduced_Graphene_OxideLiI_Composite_Lithium_Ion_B_reactions.json,94.87,Excellent,111/117
Gao_et_al__-_2021_-_A_family_of_ionic_supersalts_with_covalent-like_di_reactions.json,94.85,Excellent,92/97
Canongia_Lopes_and_P_dua_-_2004_-_Molecular_Force_Field_for_Ionic_Liquids_Composed_o_reactions.json,94.74,Excellent,54/57
Han_et_al__-_2015_-_A_Battery_Made_from_a_Single_Material_reactions.json,94.74,Excellent,90/95
Haverkate_et_al__-_2010_-_Large_Space_Charge_Effects_in_a_Nanostructured_Pro_reactions.json,94.74,Excellent,36/38
Lim_et_al__-_2012_-_Electrochemical_and_Thermal_Properties_of_NASICON__reactions.json,94.59,Excellent,105/111
Cheng_et_al__-_2019_-_Understanding_the_Lithium_Storage_Mechanism_of_Ti__reactions.json,94.29,Excellent,99/105
Davidsson_Kurland_-_2020_-_Energy_use_for_GWh-scale_lithium-ion_battery_produ_reactions.json,94.12,Excellent,16/17
Leggesse_et_al__-_2016_-_Lithium_diffusion_in_graphene_and_graphite_Effect_reactions.json,94.12,Excellent,16/17
Li_et_al__-_2021_-_Solid-State_Electrolytes_for_Sodium_Metal_Batterie_reactions.json,94.12,Excellent,80/85
Liu_et_al__-_2014_-_First-Principles_Studies_of_Li_Nucleation_on_Graph_reactions.json,94.12,Excellent,32/34
Deng_et_al__-_2015_-_Structural_and_Mechanistic_Insights_into_Fast_Lith_reactions.json,94.06,Excellent,95/101
Chu_et_al__-_2020_-_A_multi-functional_binder_for_high_loading_sulfur__reactions.json,93.52,Excellent,101/108
Chen_et_al__-_2018_-_Insights_into_Grain_Boundary_in_Lithium-Rich_Anti-_reactions.json,93.33,Excellent,28/30
Banerjee_et_al__-_2014_-_Possible_application_of_2D-boron_sheets_as_anode_m_reactions.json,92.86,Excellent,39/42
Bruce_et_al__-_2012_-_Li_O2_and_Li_S_batteries_with_high_energy_storage_reactions.json,92.73,Excellent,51/55
Calegari_Andrade_et_al__-_2018_-_Structure__Polarization__and_Sum_Frequency_Generat_reactions.json,92.59,Excellent,25/27
Lee_et_al__-_2023_-_Anode-less_all-solid-state_batteries_recent_advan_reactions.json,92.54,Excellent,62/67
Hakimian_et_al__-_2015_-_Economic_analysis_of_CNT_lithium-ion_battery_manuf_reactions.json,92.23,Excellent,95/103
Chen_and_Dahn_-_2004_-_Methods_to_obtain_excellent_capacity_retention_in__reactions.json,92.05,Excellent,81/88
Guo_et_al__-_2013_-_Lithium_Sulfur_Battery_Cathode_Enabled_by_Lithium__reactions.json,91.76,Excellent,78/85
Kasamatsu_et_al__-_2011_-_Theoretical_analysis_of_space_charge_layer_formati_reactions.json,91.43,Excellent,32/35
Byeon_et_al__-_2017_-_Two-Dimensional_Titanium_Carbide_MXene_As_a_Cathod_reactions.json,90.91,Excellent,80/88
Lim_et_al__-_2016_-_Fading_Kalman_filter-based_real-time_state_of_char_reactions.json,90.91,Excellent,30/33
Elia_et_al__-_2016_-_An_Overview_and_Future_Perspectives_of_Aluminum_Ba_reactions.json,90.82,Excellent,89/98
Gover_et_al__-_2006_-_The_electrochemical_insertion_properties_of_sodium_reactions.json,90.77,Excellent,59/65
Calvo_-_2019_-_Electrochemical_methods_for_sustainable_recovery_o_reactions.json,90.54,Excellent,67/74
Andriyevsky_et_al__-_2017_-_Ab_initio_molecular_dynamics_study_of_lithium_diff_reactions.json,90.48,Excellent,38/42
Duan_et_al__-_2020_-_Is_graphite_lithiophobic_or_lithiophilic_reactions.json,90.48,Excellent,76/84
Liu_et_al__-_2017_-_Enhancing_ionic_conductivity_in_composite_polymer__reactions.json,90.38,Excellent,94/104
Ahmad_et_al__-_2020_-_Design_rules_for_liquid_crystalline_electrolytes_f_reactions.json,90.32,Excellent,56/62
Dacek_et_al__-_2016_-_Structure_and_Dynamics_of_Fluorophosphate_Na-Ion_B_reactions.json,90.32,Excellent,28/31
Lang_et_al__-_2020_-_A_molten_battery_consisting_of_Li_metal_anode__AlC_reactions.json,90.28,Excellent,65/72
Katzenmeier_et_al__-_2021_-_Properties_of_the_Space_Charge_Layers_Formed_in_Li_reactions.json,90.14,Excellent,64/71
Lin_et_al__-_2016_-_Layered_reduced_graphene_oxide_with_nanoscale_inte_reactions.json,90.14,Excellent,64/71
Gong_et_al__-_2018_-_Three-dimensional_atomic-scale_observation_of_stru_reactions.json,89.71,Good,61/68
Gorai_et_al__-_2020_-_Defect_chemistry_of_disordered_solid-state_electro_reactions.json,89.58,Good,43/48
Liu_et_al__-_2016_-_Recent_progress_in_sulfide-based_solid_electrolyte_reactions.json,89.52,Good,94/105
Larson_et_al__-_2020_-_Effects_of_lithium_intercalation_in_twisted_bilaye_reactions.json,89.47,Good,34/38
